year,school_id,school_name,r1_id,r2_id,r3_id,r4_id,r5_id,r6_id,r7_id
2015,158,Hampton Pirates,1,1,1,1,1,1,1
2015,223,Manhattan Jaspers,1,1,1,1,1,1,1
2015,197,Kentucky Wildcats,2,1,1,1,1,1,1
2015,82,Cincinnati Bearcats,3,2,1,1,1,1,1
2015,330,Purdue Boilermakers,4,2,1,1,1,1,1
2015,451,West Virginia Mountaineers,5,3,2,1,1,1,1
2015,49,Buffalo Bulls,6,3,2,1,1,1,1
2015,228,Maryland Terrapins,7,4,2,1,1,1,1
2015,428,Valparaiso Crusaders,8,4,2,1,1,1,1
2015,50,Butler Bulldogs,9,5,3,2,1,1,1
2015,406,Texas Longhorns,10,5,3,2,1,1,1
2015,303,Notre Dame Fighting Irish,11,6,3,2,1,1,1
2015,293,Northeastern Huskies,12,6,3,2,1,1,1
2015,461,Wichita State Shockers,13,7,4,2,1,1,1
2015,179,Indiana Hoosiers,14,7,4,2,1,1,1
2015,192,Kansas Jayhawks,15,8,4,2,1,1,1
2015,273,New Mexico State Aggies,16,8,4,2,1,1,1
