BEGIN
 year | div | div |  won  | lost  | tied | count 
------+-----+-----+-------+-------+------+-------
 2002 |   1 |   1 |  9442 |  9442 |    0 | 18884
 2002 |   1 |   2 |   287 |    52 |    0 |   339
 2002 |   1 |   3 |   121 |     4 |    0 |   125
 2002 |   2 |   2 |  6676 |  6676 |    0 | 13352
 2002 |   2 |   3 |   241 |   114 |    0 |   355
 2002 |   3 |   3 |  7905 |  7905 |    0 | 15810
 2003 |   1 |   1 |  9444 |  9444 |    0 | 18888
 2003 |   1 |   2 |   158 |    14 |    0 |   172
 2003 |   1 |   3 |   146 |     6 |    0 |   152
 2003 |   2 |   2 |  7029 |  7029 |    0 | 14058
 2003 |   2 |   3 |   200 |    45 |    0 |   245
 2003 |   3 |   3 |  7721 |  7721 |    0 | 15442
 2004 |   1 |   1 |  9348 |  9348 |    0 | 18696
 2004 |   1 |   2 |   177 |    28 |    0 |   205
 2004 |   1 |   3 |   147 |     4 |    0 |   151
 2004 |   2 |   2 |  7056 |  7056 |    0 | 14112
 2004 |   2 |   3 |   192 |    59 |    0 |   251
 2004 |   3 |   3 |  8052 |  8052 |    0 | 16104
 2005 |   1 |   1 |  9504 |  9504 |    0 | 19008
 2005 |   1 |   2 |   228 |    12 |    0 |   240
 2005 |   1 |   3 |   114 |     4 |    0 |   118
 2005 |   2 |   2 |  7054 |  7054 |    0 | 14108
 2005 |   2 |   3 |   168 |    42 |    0 |   210
 2005 |   3 |   3 |  8288 |  8288 |    0 | 16576
 2006 |   1 |   1 |  9666 |  9666 |    0 | 19332
 2006 |   1 |   2 |   173 |    26 |    0 |   199
 2006 |   1 |   3 |   129 |     5 |    0 |   134
 2006 |   2 |   2 |  6935 |  6935 |    0 | 13870
 2006 |   2 |   3 |   160 |    44 |    0 |   204
 2006 |   3 |   3 |  8522 |  8522 |    0 | 17044
 2007 |   1 |   1 | 10222 | 10222 |    0 | 20444
 2007 |   1 |   2 |   225 |    10 |    0 |   235
 2007 |   1 |   3 |   132 |    10 |    0 |   142
 2007 |   2 |   2 |  7231 |  7231 |    0 | 14462
 2007 |   2 |   3 |   238 |    47 |    0 |   285
 2007 |   3 |   3 |  9999 |  9999 |    0 | 19998
 2008 |   1 |   1 | 10476 | 10476 |    0 | 20952
 2008 |   1 |   2 |   162 |    21 |    0 |   183
 2008 |   1 |   3 |    85 |     0 |    0 |    85
 2008 |   2 |   2 |  7298 |  7298 |    0 | 14596
 2008 |   2 |   3 |   177 |    37 |    0 |   214
 2008 |   3 |   3 |  8944 |  8944 |    0 | 17888
 2009 |   1 |   1 | 10536 | 10536 |    0 | 21072
 2009 |   1 |   2 |   227 |    42 |    0 |   269
 2009 |   1 |   3 |    87 |     0 |    0 |    87
 2009 |   2 |   2 |  7541 |  7541 |    0 | 15082
 2009 |   2 |   3 |   214 |    46 |    0 |   260
 2009 |   3 |   3 |  9724 |  9724 |    0 | 19448
 2010 |   1 |   1 | 10778 | 10778 |    0 | 21556
 2010 |   1 |   2 |   192 |     6 |    0 |   198
 2010 |   1 |   3 |   135 |     0 |    0 |   135
 2010 |   2 |   2 |  7750 |  7750 |    0 | 15500
 2010 |   2 |   3 |   128 |    30 |    0 |   158
 2010 |   3 |   3 |  8946 |  8946 |    0 | 17892
 2011 |   1 |   1 | 10770 | 10770 |    0 | 21540
 2011 |   1 |   2 |   154 |    14 |    0 |   168
 2011 |   1 |   3 |   151 |     8 |    0 |   159
 2011 |   2 |   2 |  7087 |  7087 |    0 | 14174
 2011 |   2 |   3 |   120 |    13 |    0 |   133
 2011 |   3 |   3 |  9183 |  9183 |    0 | 18366
 2012 |   1 |   1 | 10799 | 10799 |    0 | 21598
 2012 |   1 |   2 |   157 |    18 |    0 |   175
 2012 |   1 |   3 |   146 |    23 |    0 |   169
 2012 |   2 |   2 |  7044 |  7044 |    0 | 14088
 2012 |   2 |   3 |    78 |     9 |    0 |    87
 2012 |   3 |   3 |  9177 |  9177 |    0 | 18354
 2013 |   1 |   1 |  2238 |  2238 |    0 |  4476
 2013 |   1 |   2 |    97 |    13 |    0 |   110
 2013 |   1 |   3 |    94 |     2 |    0 |    96
 2013 |   2 |   2 |  1252 |  1252 |    0 |  2504
 2013 |   2 |   3 |    59 |    16 |    0 |    75
 2013 |   3 |   3 |  1875 |  1875 |    0 |  3750
(72 rows)

COMMIT
