rk,school,school_url,school_id,from,to,yrs,g,w,l,wl_pct,srs,sos,ap,creg,ctrn,ncaa,ff,nc
179,Indiana Hoosiers,/cbb/schools/indiana/,indiana,1901,2015,115,2751,1753,998,.637,15.91,9.44,27,21,0,38,8,5
180,Indiana State Sycamores,/cbb/schools/indiana-state/,indiana-state,1900,2015,93,2044,1062,982,.520,-0.81,2.42,1,2,3,4,1,0
181,Iona Gaels,/cbb/schools/iona/,iona,1954,2015,62,1685,942,743,.559,-0.59,-2.48,1,10,7,10,0,0
182,Iowa Hawkeyes,/cbb/schools/iowa/,iowa,1893,2015,118,2692,1575,1116,.585,13.40,8.13,17,8,2,24,3,0
183,Iowa State Cyclones,/cbb/schools/iowa-state/,iowa-state,1908,2015,108,2561,1291,1270,.504,9.36,7.22,7,6,4,17,1,0
184,IPFW Mastodons,/cbb/schools/ipfw/,ipfw,2003,2015,13,395,168,227,.425,-7.41,-2.16,0,0,0,0,0,0
185,IUPUI Jaguars,/cbb/schools/iupui/,iupui,1999,2015,17,527,257,270,.488,-4.32,-2.60,0,1,1,1,0,0
186,Jackson State Tigers,/cbb/schools/jackson-state/,jackson-state,1978,2015,38,1132,535,597,.473,-11.13,-8.57,0,7,4,3,0,0
187,Jacksonville Dolphins,/cbb/schools/jacksonville/,jacksonville,1967,2015,49,1400,690,710,.493,-4.99,-1.93,2,3,2,5,1,0
188,Jacksonville State Gamecocks,/cbb/schools/jacksonville-state/,jacksonville-state,1996,2015,20,577,233,344,.404,-10.70,-6.80,0,0,0,0,0,0
189,James Madison Dukes,/cbb/schools/james-madison/,james-madison,1977,2015,39,1157,601,556,.519,-1.95,-1.84,0,7,3,5,0,0
190,John Carroll Blue Streaks,/cbb/schools/john-carroll/,john-carroll,1948,1955,8,191,80,111,.419,,,0,0,0,0,0,0
191,Kalamazoo Hornets,/cbb/schools/kalamazoo/,kalamazoo,1908,1923,16,193,134,59,.694,,,0,0,0,,,
192,Kansas Jayhawks,/cbb/schools/kansas/,kansas,1899,2015,117,2984,2153,831,.722,19.27,8.58,40,58,13,44,14,3
193,Kansas State Wildcats,/cbb/schools/kansas-state/,kansas-state,1906,2015,110,2672,1569,1103,.587,9.75,7.42,15,18,2,28,4,0
194,Kennesaw State Owls,/cbb/schools/kennesaw-state/,kennesaw-state,2010,2015,6,188,43,145,.229,-14.67,-3.56,0,0,0,0,0,0
195,Kent State Golden Flashes,/cbb/schools/kent-state/,kent-state,1914,2015,96,2268,1104,1164,.487,1.33,0.00,0,9,5,5,0,0
196,Kentucky Wesleyan Panthers,/cbb/schools/kentucky-wesleyan/,kentucky-wesleyan,1957,1958,2,52,30,22,.577,,,0,0,0,0,0,0
197,Kentucky Wildcats,/cbb/schools/kentucky/,kentucky,1903,2015,112,2855,2180,674,.764,19.00,9.08,48,53,30,55,17,8
198,La Salle Explorers,/cbb/schools/la-salle/,la-salle,1932,2015,84,2241,1326,915,.592,1.96,1.18,6,9,8,12,2,1
199,Lafayette Leopards,/cbb/schools/lafayette/,lafayette,1901,2015,105,2482,1298,1184,.523,-8.57,-5.91,0,17,3,4,0,0
200,Lake Forest Foresters,/cbb/schools/lake-forest/,lake-forest,1905,1916,12,144,89,55,.618,,,0,0,0,,,
201,Lamar Cardinals,/cbb/schools/lamar/,lamar,1970,2015,46,1324,676,648,.511,-3.42,-3.06,0,9,4,6,0,0
202,Latter Day Saints University ,/cbb/schools/latter-day-saints-university/,latter-day-saints-university,1903,1903,1,16,15,1,.938,,,0,0,0,,,
203,Lawrence Vikings,/cbb/schools/lawrence/,lawrence,1948,1948,1,28,22,6,.786,,,0,0,0,0,0,0
204,Lehigh Mountain Hawks,/cbb/schools/lehigh/,lehigh,1902,2015,114,2396,1034,1362,.432,-9.75,-6.73,0,4,5,5,0,0
205,Lewis University Flyers,/cbb/schools/lewis-university/,lewis-university,1905,1905,1,25,20,5,.800,,,0,0,0,,,
206,Liberty Flames,/cbb/schools/liberty/,liberty,1989,2015,27,815,368,447,.452,-11.23,-7.23,0,2,3,3,0,0
207,Lipscomb Bisons,/cbb/schools/lipscomb/,lipscomb,2004,2015,12,363,182,181,.501,-6.73,-4.79,0,2,0,0,0,0
208,Long Beach State 49ers,/cbb/schools/long-beach-state/,long-beach-state,1970,2015,46,1359,750,609,.552,-0.36,1.41,5,14,5,9,0,0
209,Long Island University Blackbirds,/cbb/schools/long-island-university/,long-island-university,1929,2015,70,1857,1042,813,.562,-11.04,-7.41,1,9,5,6,0,0
210,Longwood Lancers,/cbb/schools/longwood/,longwood,2008,2015,8,254,87,167,.343,-16.87,-5.12,0,0,0,0,0,0
211,Louisiana State Fighting Tigers,/cbb/schools/louisiana-state/,louisiana-state,1909,2015,107,2616,1487,1129,.568,10.16,6.89,12,11,1,21,4,0
212,Louisiana Tech Bulldogs,/cbb/schools/louisiana-tech/,louisiana-tech,1974,2015,42,1248,712,536,.571,0.86,-0.71,1,10,6,5,0,0
213,Louisiana-Lafayette Ragin' Cajuns,/cbb/schools/louisiana-lafayette/,louisiana-lafayette,1972,2015,44,1258,725,533,.576,0.55,-0.76,2,9,7,10,0,0
214,Louisiana-Monroe Warhawks,/cbb/schools/louisiana-monroe/,louisiana-monroe,1974,2015,42,1223,649,574,.531,-5.51,-4.26,0,10,8,7,0,0
215,Louisville Cardinals,/cbb/schools/louisville/,louisville,1912,2015,101,2639,1755,884,.665,15.41,7.85,32,23,17,41,10,3
216,Loyola (IL) Ramblers,/cbb/schools/loyola-il/,loyola-il,1921,2015,94,2350,1238,1112,.527,-1.91,0.33,5,6,1,5,1,1
217,Loyola (LA) Wolfpack,/cbb/schools/loyola-la/,loyola-la,1952,1972,20,499,237,262,.475,,,0,0,0,2,0,0
218,Loyola (MD) Greyhounds,/cbb/schools/loyola-md/,loyola-md,1908,2015,71,1611,748,863,.464,-8.96,-4.69,0,0,2,2,0,0
219,Loyola Marymount Lions,/cbb/schools/loyola-marymount/,loyola-marymount,1943,2015,68,1862,805,1057,.432,-3.40,1.15,2,3,2,5,0,0
220,Macalester Scots,/cbb/schools/macalester/,macalester,1896,1899,4,21,8,13,.381,,,0,0,0,,,
221,Maine Black Bears,/cbb/schools/maine/,maine,1904,2015,71,1674,773,901,.462,-8.77,-5.73,0,0,0,0,0,0
222,Manchester Spartans,/cbb/schools/manchester/,manchester,1926,1926,1,16,15,1,.938,,,0,0,0,,,
223,Manhattan Jaspers,/cbb/schools/manhattan/,manhattan,1905,2015,109,2488,1317,1171,.529,-4.56,-3.39,0,13,5,8,0,0
224,Marietta Pioneers,/cbb/schools/marietta/,marietta,1908,1920,13,175,109,66,.623,,,0,0,0,,,
225,Marist Red Foxes,/cbb/schools/marist/,marist,1982,2015,34,1001,462,539,.462,-6.84,-5.65,0,5,2,2,0,0
226,Marquette Golden Eagles,/cbb/schools/marquette/,marquette,1917,2015,98,2506,1549,957,.618,10.38,5.29,22,5,1,31,3,1
227,Marshall Thundering Herd,/cbb/schools/marshall/,marshall,1919,2015,91,2320,1322,996,.570,-0.52,-1.05,1,6,3,5,0,0
228,Maryland Terrapins,/cbb/schools/maryland/,maryland,1924,2015,92,2463,1470,993,.597,13.97,8.21,22,6,4,25,2,1
229,Maryland-Baltimore County Retrievers,/cbb/schools/maryland-baltimore-county/,maryland-baltimore-county,1987,2015,29,839,314,525,.374,-12.06,-6.79,0,2,1,1,0,0
230,Maryland-Eastern Shore Hawks,/cbb/schools/maryland-eastern-shore/,maryland-eastern-shore,1974,2015,36,1025,296,729,.289,-20.26,-9.74,0,1,1,0,0,0
231,Massachusetts Institute of Technology Engineers,/cbb/schools/massachusetts-institute-of-technology/,massachusetts-institute-of-technology,1909,1909,1,16,10,6,.625,,,0,0,0,,,
232,Massachusetts Minutemen,/cbb/schools/massachusetts/,massachusetts,1926,2015,56,1602,892,710,.557,3.03,3.15,5,15,5,9,1,0
233,Massachusetts-Lowell River Hawks,/cbb/schools/massachusetts-lowell/,massachusetts-lowell,1906,2015,3,74,38,36,.514,-12.46,-4.42,0,0,0,0,0,0
234,McNeese State Cowboys,/cbb/schools/mcneese-state/,mcneese-state,1974,2015,42,1208,595,613,.493,-6.98,-4.20,0,6,2,2,0,0
235,Memphis Tigers,/cbb/schools/memphis/,memphis,1956,2015,60,1809,1217,592,.673,12.00,5.27,16,19,11,25,3,0
236,Mercer Bears,/cbb/schools/mercer/,mercer,1974,2015,42,1223,582,641,.476,-8.81,-5.36,0,3,3,3,0,0
237,Merchant Marine Academy Mariners,/cbb/schools/merchant-marine-academy/,merchant-marine-academy,1946,1947,2,39,13,26,.333,,,0,0,0,0,0,0
238,Miami (FL) Hurricanes,/cbb/schools/miami-fl/,miami-fl,1949,2015,52,1480,840,640,.568,6.65,5.34,5,2,1,7,0,0
239,Miami (OH) RedHawks,/cbb/schools/miami-oh/,miami-oh,1906,2015,110,2452,1323,1129,.540,2.64,1.30,1,18,4,17,0,0
240,Michigan State Spartans,/cbb/schools/michigan-state/,michigan-state,1899,2015,116,2665,1606,1059,.603,14.73,8.93,21,13,4,29,9,2
241,Michigan Wolverines,/cbb/schools/michigan/,michigan,1918,2015,98,2503,1504,999,.601,13.01,9.11,19,14,1,25,7,1
242,Middle Tennessee Blue Raiders,/cbb/schools/middle-tennessee/,middle-tennessee,1959,2015,57,1602,876,726,.547,-2.31,-2.98,0,9,5,7,0,0
243,Millikin Big Blue,/cbb/schools/millikin/,millikin,1910,1921,12,210,150,60,.714,,,0,0,0,,,
244,Millsaps Majors,/cbb/schools/millsaps/,millsaps,1911,1921,11,116,59,57,.509,,,0,0,0,,,
245,Milwaukee Panthers,/cbb/schools/milwaukee/,milwaukee,1974,2015,32,932,466,466,.500,-2.15,-0.77,0,5,4,4,0,0
246,Minnesota A&M Aggies,/cbb/schools/minnesota-am/,minnesota-am,1896,1903,4,30,27,3,.900,,,0,0,0,,,
247,Minnesota Golden Gophers,/cbb/schools/minnesota/,minnesota,1896,2015,120,2739,1583,1154,.578,11.27,8.27,10,9,0,12,1,0
248,Mississippi Rebels,/cbb/schools/mississippi/,mississippi,1909,2015,105,2497,1239,1256,.497,7.47,6.65,2,5,2,8,0,0
249,Mississippi State Bulldogs,/cbb/schools/mississippi-state/,mississippi-state,1909,2015,103,2489,1347,1142,.541,7.78,6.70,11,12,5,10,1,0
250,Mississippi Valley State Delta Devils,/cbb/schools/mississippi-valley-state/,mississippi-valley-state,1980,2015,36,1048,450,598,.429,-13.07,-9.17,0,7,5,5,0,0
251,Missouri State Bears,/cbb/schools/missouri-state/,missouri-state,1983,2015,33,1034,624,410,.603,4.75,1.30,0,5,3,6,0,0
252,Missouri Tigers,/cbb/schools/missouri/,missouri,1907,2015,109,2678,1587,1091,.593,12.61,7.40,14,15,8,26,0,0
253,Missouri-Kansas City Kangaroos,/cbb/schools/missouri-kansas-city/,missouri-kansas-city,1990,2015,26,761,324,437,.426,-6.93,-3.50,0,0,0,0,0,0
254,Monmouth Hawks,/cbb/schools/monmouth/,monmouth,1984,2015,32,943,432,511,.458,-8.83,-6.64,0,2,4,4,0,0
255,Montana Grizzlies,/cbb/schools/montana/,montana,1912,2015,100,2502,1348,1154,.539,0.24,-2.38,0,11,9,10,0,0
256,Montana State Bobcats,/cbb/schools/montana-state/,montana-state,1902,2015,104,2491,1369,1122,.550,-3.70,-2.70,0,10,2,2,0,0
257,Morehead State Eagles,/cbb/schools/morehead-state/,morehead-state,1956,2015,60,1643,825,818,.502,-7.50,-4.02,0,9,4,7,0,0
258,Morgan State Bears,/cbb/schools/morgan-state/,morgan-state,1985,2015,31,912,332,580,.364,-15.76,-8.86,0,3,2,2,0,0
259,Morris Brown Wolverines,/cbb/schools/morris-brown/,morris-brown,2002,2003,2,57,13,44,.228,-25.82,-6.03,0,0,0,0,0,0
260,Mount St. Mary's Mountaineers,/cbb/schools/mount-st-marys/,mount-st-marys,1989,2015,27,792,342,450,.432,-9.24,-6.42,0,1,4,4,0,0
261,Mount Union Purple Raiders,/cbb/schools/mount-union/,mount-union,1896,1932,37,493,314,179,.637,,,0,0,0,,,
262,Muhlenburg Mules,/cbb/schools/muhlenburg/,muhlenburg,1901,1963,56,1064,579,484,.545,,,0,3,0,0,0,0
263,Murray State Racers,/cbb/schools/murray-state/,murray-state,1954,2015,62,1758,1110,648,.631,0.95,-3.83,2,25,14,15,0,0
264,Muskingum Fighting Muskies,/cbb/schools/muskingum/,muskingum,1905,1927,3,48,44,4,.917,,,0,0,0,,,
265,Navy Midshipmen,/cbb/schools/navy/,navy,1908,2015,108,2332,1328,1004,.569,-6.70,-5.42,1,8,6,11,0,0
266,Nebraska Cornhuskers,/cbb/schools/nebraska/,nebraska,1897,2015,119,2746,1446,1300,.527,7.93,6.75,2,7,1,7,0,0
267,Nebraska Wesleyan Prairie Wolves,/cbb/schools/nebraska-wesleyan/,nebraska-wesleyan,1906,1917,12,188,134,54,.713,,,0,0,0,,,
268,Nebraska-Omaha Mavericks,/cbb/schools/nebraska-omaha/,nebraska-omaha,2013,2015,3,92,40,52,.435,-7.85,-3.94,0,0,0,0,0,0
269,Nevada Wolf Pack,/cbb/schools/nevada/,nevada,1913,2015,60,1552,844,708,.544,1.37,1.21,2,9,4,6,0,0
270,Nevada-Las Vegas Rebels,/cbb/schools/nevada-las-vegas/,nevada-las-vegas,1970,2015,46,1448,1034,414,.714,11.00,4.18,16,14,11,20,4,1
271,New Hampshire Wildcats,/cbb/schools/new-hampshire/,new-hampshire,1927,2015,63,1595,534,1061,.335,-12.40,-5.51,0,1,0,0,0,0
272,New Mexico Lobos,/cbb/schools/new-mexico/,new-mexico,1900,2015,109,2455,1430,1025,.582,7.78,3.45,11,12,6,15,0,0
273,New Mexico State Aggies,/cbb/schools/new-mexico-state/,new-mexico-state,1905,2015,105,2477,1430,1045,.578,4.00,1.42,5,16,9,22,1,0
274,New Orleans Privateers,/cbb/schools/new-orleans/,new-orleans,1976,2015,38,1107,613,494,.554,-1.38,-1.55,2,8,3,4,0,0
275,New York University Violets,/cbb/schools/new-york-university/,new-york-university,1907,1971,65,1184,725,459,.612,,,2,6,0,6,2,0
276,Newberry Wolves,/cbb/schools/newberry/,newberry,1921,1921,1,4,2,2,.500,,,0,0,0,,,
277,Niagara Purple Eagles,/cbb/schools/niagara/,niagara,1906,2015,109,2586,1422,1163,.550,-4.96,-3.19,2,10,2,3,0,0
278,Nicholls State Colonels,/cbb/schools/nicholls-state/,nicholls-state,1981,2015,35,979,387,592,.395,-12.28,-5.96,0,2,2,2,0,0
279,NJIT Highlanders,/cbb/schools/njit/,njit,2010,2015,6,184,90,94,.489,-11.49,-7.79,0,1,0,0,0,0
280,Norfolk State Spartans,/cbb/schools/norfolk-state/,norfolk-state,1998,2015,18,547,256,291,.468,-11.76,-8.71,0,1,1,1,0,0
281,North Carolina A&T Aggies,/cbb/schools/north-carolina-at/,north-carolina-at,1974,2015,42,1222,604,618,.494,-12.11,-9.48,0,11,14,10,0,0
282,North Carolina Central Eagles,/cbb/schools/north-carolina-central/,north-carolina-central,2011,2015,5,160,107,53,.669,-3.35,-7.75,0,3,1,1,0,0
283,North Carolina State Wolfpack,/cbb/schools/north-carolina-state/,north-carolina-state,1913,2015,103,2671,1661,1010,.622,12.03,8.10,17,13,17,26,3,2
284,North Carolina Tar Heels,/cbb/schools/north-carolina/,north-carolina,1911,2015,105,2907,2140,767,.736,19.95,9.91,47,36,25,46,18,5
285,North Carolina-Asheville Bulldogs,/cbb/schools/north-carolina-asheville/,north-carolina-asheville,1987,2015,29,856,403,453,.471,-10.39,-5.76,0,5,4,3,0,0
286,North Carolina-Greensboro Spartans,/cbb/schools/north-carolina-greensboro/,north-carolina-greensboro,1992,2015,24,715,305,410,.427,-8.04,-4.64,0,4,2,2,0,0
287,North Carolina-Wilmington Seahawks,/cbb/schools/north-carolina-wilmington/,north-carolina-wilmington,1977,2015,39,1145,587,558,.513,-2.96,-2.24,0,6,4,4,0,0
288,North Central Cardinals,/cbb/schools/north-central/,north-central,1911,1922,8,115,78,37,.678,,,0,0,0,,,
289,North Dakota State Bison,/cbb/schools/north-dakota-state/,north-dakota-state,1898,2015,36,607,436,171,.718,0.85,-3.16,0,3,3,3,0,0
290,North Dakota UND,/cbb/schools/north-dakota/,north-dakota,1905,2015,22,357,227,130,.636,-9.62,-5.57,0,0,2,0,0,0
291,North Florida Ospreys,/cbb/schools/north-florida/,north-florida,2010,2015,6,196,96,100,.490,-5.82,-2.39,0,1,1,1,0,0
292,North Texas Mean Green,/cbb/schools/north-texas/,north-texas,1922,2015,60,1629,720,909,.442,-5.70,-2.00,0,3,3,3,0,0
293,Northeastern Huskies,/cbb/schools/northeastern/,northeastern,1938,2015,52,1407,728,679,.517,-3.94,-3.92,0,12,8,8,0,0
294,Northeastern Illinois Golden Eagles,/cbb/schools/northeastern-illinois/,northeastern-illinois,1991,1998,8,216,78,138,.361,-14.90,-6.67,0,0,0,0,0,0
295,Northern Arizona Lumberjacks,/cbb/schools/northern-arizona/,northern-arizona,1919,2015,76,1781,834,947,.468,-5.71,-2.37,0,6,2,2,0,0
296,Northern Colorado Bears,/cbb/schools/northern-colorado/,northern-colorado,1911,2015,36,604,323,281,.535,-4.15,-4.32,0,3,1,1,0,0
297,Northern Illinois Huskies,/cbb/schools/northern-illinois/,northern-illinois,1927,2015,49,1354,603,751,.445,-4.22,-1.45,0,3,2,3,0,0
298,Northern Iowa Panthers,/cbb/schools/northern-iowa/,northern-iowa,1981,2015,35,1052,552,500,.525,0.72,1.35,1,2,5,7,0,0
299,Northern Kentucky Norse,/cbb/schools/northern-kentucky/,northern-kentucky,2013,2015,3,87,33,54,.379,-8.40,-4.96,0,0,0,0,0,0
300,Northest Missouri State Bearcats,/cbb/schools/northest-missouri-state/,northest-missouri-state,1930,1932,3,97,89,8,.918,,,0,0,0,,,
301,Northwestern State Demons,/cbb/schools/northwestern-state/,northwestern-state,1977,2015,39,1126,513,613,.456,-9.16,-5.53,0,3,3,3,0,0
302,Northwestern Wildcats,/cbb/schools/northwestern/,northwestern,1905,2015,110,2476,1016,1459,.411,2.92,8.18,0,2,0,0,0,0
303,Notre Dame Fighting Irish,/cbb/schools/notre-dame/,notre-dame,1897,2015,111,2771,1797,973,.649,10.88,6.33,24,5,1,34,1,0
304,Oakland Golden Grizzlies,/cbb/schools/oakland/,oakland,2000,2015,16,512,271,241,.529,-1.48,-0.93,0,3,3,3,0,0
305,Oberlin Yeomen,/cbb/schools/oberlin/,oberlin,1905,1921,7,82,61,21,.744,,,0,0,0,,,
306,Ohio Bobcats,/cbb/schools/ohio/,ohio,1908,2015,108,2556,1458,1098,.570,1.40,0.12,0,10,6,13,0,0
307,Ohio State Buckeyes,/cbb/schools/ohio-state/,ohio-state,1899,2015,116,2750,1685,1065,.613,13.80,8.40,21,22,5,31,11,1
308,Ohio Wesleyan Battling Bishops,/cbb/schools/ohio-wesleyan/,ohio-wesleyan,1929,1935,2,40,35,5,.875,,,0,0,0,,,
309,Oklahoma City Chiefs,/cbb/schools/oklahoma-city/,oklahoma-city,1951,1985,35,948,530,418,.559,-5.71,0.20,3,0,1,11,0,0
310,Oklahoma Sooners,/cbb/schools/oklahoma/,oklahoma,1908,2015,108,2634,1607,1027,.610,14.60,7.28,18,14,7,29,4,0
311,Oklahoma State Cowboys,/cbb/schools/oklahoma-state/,oklahoma-state,1908,2015,106,2704,1595,1109,.590,11.99,7.12,18,19,4,27,6,2
312,Old Dominion Monarchs,/cbb/schools/old-dominion/,old-dominion,1977,2015,39,1213,733,480,.604,3.26,0.45,0,8,6,11,0,0
313,Oral Roberts Golden Eagles,/cbb/schools/oral-roberts/,oral-roberts,1972,2015,40,1189,692,497,.582,-0.34,-1.36,2,10,5,5,0,0
314,Oregon Ducks,/cbb/schools/oregon/,oregon,1903,2015,110,2880,1555,1325,.540,7.49,7.19,3,4,3,13,1,1
315,Oregon State Beavers,/cbb/schools/oregon-state/,oregon-state,1902,2015,114,2973,1702,1271,.572,6.26,6.52,8,12,0,16,2,0
316,Pacific Tigers,/cbb/schools/pacific/,pacific,1938,2015,65,1824,937,887,.514,0.19,0.66,1,10,5,9,0,0
317,Penn State Nittany Lions,/cbb/schools/penn-state/,penn-state,1897,2015,119,2528,1405,1122,.556,4.24,4.92,2,2,1,9,1,0
318,Pennsylvania Quakers,/cbb/schools/pennsylvania/,pennsylvania,1897,2015,114,2775,1718,1056,.619,-1.20,-3.03,6,37,0,23,1,0
319,Pepperdine Waves,/cbb/schools/pepperdine/,pepperdine,1944,2015,61,1737,879,858,.506,1.35,1.31,1,12,3,13,0,0
320,Phillips Haymakers,/cbb/schools/phillips/,phillips,1920,1920,1,3,2,1,.667,,,0,0,0,,,
321,Pittsburg State Gorillas,/cbb/schools/pittsburg-state/,pittsburg-state,1927,1931,5,103,86,17,.835,,,0,0,0,,,
322,Pittsburgh Panthers,/cbb/schools/pittsburgh/,pittsburgh,1906,2015,108,2655,1556,1099,.586,11.65,6.86,13,11,4,25,1,0
323,Portland Pilots,/cbb/schools/portland/,portland,1954,2015,62,1736,746,990,.430,-3.20,0.88,0,0,1,2,0,0
324,Portland State Vikings,/cbb/schools/portland-state/,portland-state,1973,2015,26,740,360,380,.486,-5.93,-3.02,0,2,2,2,0,0
325,Prairie View Panthers,/cbb/schools/prairie-view/,prairie-view,1981,2015,35,1001,271,730,.271,-22.09,-8.20,0,1,1,1,0,0
326,Pratt Institute Cannoneers,/cbb/schools/pratt-institute/,pratt-institute,1934,1934,1,14,8,6,.571,,,0,0,0,,,
327,Presbyterian Blue Hose,/cbb/schools/presbyterian/,presbyterian,2011,2015,5,156,51,105,.327,-13.78,-4.85,0,0,0,0,0,0
328,Princeton Tigers,/cbb/schools/princeton/,princeton,1901,2015,115,2722,1673,1048,.615,-0.07,-3.99,4,29,0,24,1,0
329,Providence Friars,/cbb/schools/providence/,providence,1929,2015,66,1884,1152,732,.611,8.54,6.75,6,3,2,17,2,0
330,Purdue Boilermakers,/cbb/schools/purdue/,purdue,1897,2015,117,2698,1712,986,.635,13.76,8.78,18,22,1,27,2,0
331,Quinnipiac Bobcats,/cbb/schools/quinnipiac/,quinnipiac,1999,2015,17,505,252,253,.499,-8.09,-7.11,0,1,0,0,0,0
332,Radford Highlanders,/cbb/schools/radford/,radford,1985,2015,31,919,470,449,.511,-9.73,-7.53,0,4,2,2,0,0
333,Regis (CO) Rangers,/cbb/schools/regis-co/,regis-co,1962,1964,3,66,37,29,.561,,,0,0,0,0,0,0
334,Rensselaer Engineers,/cbb/schools/rensselaer/,rensselaer,1901,1924,4,39,28,11,.718,,,0,0,0,,,
335,Rhode Island Rams,/cbb/schools/rhode-island/,rhode-island,1904,2015,109,2516,1428,1088,.568,2.24,2.45,0,15,1,8,0,0
336,Rice Owls,/cbb/schools/rice/,rice,1915,2015,101,2424,1058,1366,.436,-1.06,2.33,0,10,0,4,0,0
337,Richmond Spiders,/cbb/schools/richmond/,richmond,1913,2015,103,2452,1310,1142,.534,2.64,0.67,1,6,6,9,0,0
338,Rider Broncs,/cbb/schools/rider/,rider,1929,2015,52,1460,768,692,.526,-6.17,-5.28,0,11,3,3,0,0
339,Ripon Red Hawks,/cbb/schools/ripon/,ripon,1902,1922,5,59,46,13,.780,,,0,0,0,,,
340,Roanoke Maroons,/cbb/schools/roanoke/,roanoke,1912,1919,8,92,67,25,.728,,,0,0,0,,,
341,Robert Morris Colonials,/cbb/schools/robert-morris/,robert-morris,1977,2015,39,1151,571,580,.496,-7.98,-6.75,0,11,8,8,0,0
342,Rochester (NY) Yellowjackets,/cbb/schools/rochester-ny/,rochester-ny,1910,1944,7,111,74,37,.667,,,0,0,0,0,0,0
343,Rose-Hulman Fightin' Engineers,/cbb/schools/rose-hulman/,rose-hulman,1898,1898,1,4,2,2,.500,,,0,0,0,,,
344,Rutgers Scarlet Knights,/cbb/schools/rutgers/,rutgers,1914,2015,101,2322,1189,1133,.512,3.14,4.61,2,10,2,6,1,0
345,Sacramento State Hornets,/cbb/schools/sacramento-state/,sacramento-state,1992,2015,24,675,194,481,.287,-13.25,-2.82,0,0,0,0,0,0
346,Sacred Heart Pioneers,/cbb/schools/sacred-heart/,sacred-heart,2000,2015,16,472,174,298,.369,-11.37,-6.75,0,0,0,0,0,0
347,Saint Francis (PA) Red Flash,/cbb/schools/saint-francis-pa/,saint-francis-pa,1956,2015,60,1615,712,903,.441,-11.65,-6.88,0,1,1,1,0,0
348,Saint Joseph's Hawks,/cbb/schools/saint-josephs/,saint-josephs,1910,2015,106,2642,1577,1065,.597,5.13,3.12,6,20,5,20,1,0
349,Saint Louis Billikens,/cbb/schools/saint-louis/,saint-louis,1916,2015,99,2520,1368,1152,.543,4.17,3.34,10,7,2,9,0,0
350,Saint Mary's (CA) Gaels,/cbb/schools/saint-marys-ca/,saint-marys-ca,1910,2015,106,2441,1231,1210,.504,1.59,0.89,2,6,3,8,0,0
351,Saint Peter's Peacocks,/cbb/schools/saint-peters/,saint-peters,1966,2015,50,1415,701,714,.495,-4.78,-3.97,0,6,3,3,0,0
352,Sam Houston State Bearkats,/cbb/schools/sam-houston-state/,sam-houston-state,1987,2015,29,846,432,414,.511,-7.29,-5.27,0,5,2,2,0,0
353,Samford Bulldogs,/cbb/schools/samford/,samford,1973,2015,43,1225,532,693,.434,-8.47,-5.95,0,3,2,2,0,0
354,San Diego State Aztecs,/cbb/schools/san-diego-state/,san-diego-state,1971,2015,45,1339,707,632,.528,2.99,3.59,3,7,6,11,0,0
355,San Diego Toreros,/cbb/schools/san-diego/,san-diego,1980,2015,36,1050,528,522,.503,-0.11,0.35,0,2,2,4,0,0
356,San Francisco Dons,/cbb/schools/san-francisco/,san-francisco,1924,2015,88,2264,1308,956,.578,0.04,1.15,9,15,1,16,3,2
357,San Jose State Spartans,/cbb/schools/san-jose-state/,san-jose-state,1938,2015,65,1767,723,1044,.409,-3.23,2.18,0,1,2,2,0,0
358,Santa Clara Broncos,/cbb/schools/santa-clara/,santa-clara,1909,2015,106,2475,1434,1041,.579,1.67,1.46,2,11,2,11,1,0
359,Savage School of Physical Education ,/cbb/schools/savage-school-of-physical-education/,savage-school-of-physical-education,1896,1898,2,8,6,2,.750,,,0,0,0,,,
360,Savannah State Tigers,/cbb/schools/savannah-state/,savannah-state,2003,2015,13,388,133,255,.343,-16.71,-4.62,0,1,0,0,0,0
361,Scranton Royals,/cbb/schools/scranton/,scranton,1948,1948,1,27,7,20,.259,,,0,0,0,0,0,0
362,Seattle Redhawks,/cbb/schools/seattle/,seattle,1953,2015,33,907,546,361,.602,-5.14,-2.54,5,3,0,11,1,0
363,Seton Hall Pirates,/cbb/schools/seton-hall/,seton-hall,1909,2015,102,2464,1426,1037,.579,7.58,6.67,6,4,2,9,1,0
364,Sewanee Tigers,/cbb/schools/sewanee/,sewanee,1923,1941,19,248,48,200,.194,,,0,0,0,0,0,0
365,Siena Saints,/cbb/schools/siena/,siena,1939,2015,57,1549,855,694,.552,-2.16,-3.73,1,9,6,6,0,0
366,South Alabama Jaguars,/cbb/schools/south-alabama/,south-alabama,1972,2015,44,1275,728,547,.571,0.20,-1.04,0,12,5,8,0,0
367,South Carolina Gamecocks,/cbb/schools/south-carolina/,south-carolina,1909,2015,107,2546,1342,1203,.527,6.57,5.87,8,7,2,8,0,0
368,South Carolina State Bulldogs,/cbb/schools/south-carolina-state/,south-carolina-state,1972,2015,44,1288,639,649,.496,-12.50,-9.95,0,8,5,5,0,0
369,South Carolina Upstate Spartans,/cbb/schools/south-carolina-upstate/,south-carolina-upstate,2011,2015,5,166,84,82,.506,-4.10,-3.89,0,0,0,0,0,0
370,South Dakota Coyotes,/cbb/schools/south-dakota/,south-dakota,2011,2015,5,154,67,87,.435,-7.75,-4.11,0,0,0,0,0,0
