rk,school,school_url,school_id,from,to,yrs,g,w,l,wl_pct,srs,sos,ap,creg,ctrn,ncaa,ff,nc
33,Beloit Buccaneers,/cbb/schools/beloit/,beloit,1911,1924,8,95,66,28,.702,,,0,0,0,,,
34,Bethune-Cookman Wildcats,/cbb/schools/bethune-cookman/,bethune-cookman,1981,2015,35,1028,361,667,.351,-17.09,-9.93,0,1,0,0,0,0
35,Binghamton Bearcats,/cbb/schools/binghamton/,binghamton,2002,2015,14,419,154,265,.368,-10.55,-5.48,0,1,1,1,0,0
36,Birmingham-Southern Panthers,/cbb/schools/birmingham-southern/,birmingham-southern,1920,2006,5,105,65,40,.619,-5.44,-8.71,0,1,0,0,0,0
37,Bloomsburg Huskies,/cbb/schools/bloomsburg/,bloomsburg,1896,1911,15,143,88,55,.615,,,0,0,0,,,
38,Boise State Broncos,/cbb/schools/boise-state/,boise-state,1972,2015,44,1284,707,577,.551,0.86,-0.41,0,6,5,7,0,0
39,Boston College Eagles,/cbb/schools/boston-college/,boston-college,1946,2015,70,1952,1094,858,.560,8.32,6.49,8,8,2,18,0,0
40,Boston University Terriers,/cbb/schools/boston-university/,boston-university,1916,2015,89,2001,1025,976,.512,-3.28,-4.57,0,8,6,7,0,0
41,Bowling Green State Falcons,/cbb/schools/bowling-green-state/,bowling-green-state,1916,2015,100,2440,1320,1120,.541,-0.35,-0.15,2,9,0,4,0,0
42,Bradley Braves,/cbb/schools/bradley/,bradley,1903,2015,111,2738,1611,1127,.588,3.42,2.49,12,8,2,8,2,0
43,Brigham Young College ,/cbb/schools/brigham-young-college/,brigham-young-college,1908,1908,1,11,10,1,.909,,,0,0,0,,,
44,Brigham Young Cougars,/cbb/schools/brigham-young/,brigham-young,1903,2015,113,2786,1738,1048,.624,9.29,4.33,10,25,3,29,0,0
45,Brooklyn Bulldogs,/cbb/schools/brooklyn/,brooklyn,1934,1992,25,567,233,334,.411,-19.22,-9.63,0,0,0,0,0,0
46,Brown Bears,/cbb/schools/brown/,brown,1901,2015,109,2457,993,1464,.404,-10.27,-5.13,0,1,0,2,0,0
47,Bryant Bulldogs,/cbb/schools/bryant/,bryant,2011,2015,5,154,64,90,.416,-8.70,-4.39,0,0,0,0,0,0
48,Bucknell Bison,/cbb/schools/bucknell/,bucknell,1896,2015,120,2544,1360,1184,.535,-4.64,-6.25,0,13,6,6,0,0
49,Buffalo Bulls,/cbb/schools/buffalo/,buffalo,1907,2015,46,1066,517,549,.485,-5.09,-2.43,0,3,1,1,0,0
50,Butler Bulldogs,/cbb/schools/butler/,butler,1897,2015,117,2607,1513,1094,.580,3.80,1.42,6,13,7,13,2,0
51,Cal Poly Mustangs,/cbb/schools/cal-poly/,cal-poly,1995,2015,21,614,260,354,.423,-6.00,-1.74,0,1,1,1,0,0
52,Cal State Bakersfield Roadrunners,/cbb/schools/cal-state-bakersfield/,cal-state-bakersfield,2011,2015,5,154,66,88,.429,-7.26,-3.62,0,0,0,0,0,0
53,Cal State Fullerton Titans,/cbb/schools/cal-state-fullerton/,cal-state-fullerton,1975,2015,41,1185,561,624,.473,-1.93,-0.04,0,2,2,2,0,0
54,Cal State Los Angeles Golden Eagles,/cbb/schools/cal-state-los-angeles/,cal-state-los-angeles,1971,1975,5,130,70,60,.538,,,0,0,0,1,0,0
