0,
NAIMBB2_AMEC,American Mideast Conference
NAIMBB1_AMWC,American Midwest Conference
NAIMBB2_AAC,Appalachian Athletic Conference
NAIMBB2_CALPAC,California Pacific Conference
NAIMBB2_CCC,Cascade Collegiate Conference
NAIMBB1_CCAC,Chicagoland DI Collegiate Athletic Conference
NAIMBB2_CCAC,Chicagoland DII Collegiate Athletic Conference
NAIMBB2_CROSS,Crossroads League
NAIMBB2_DAC,Dakota Athletic Conference
NAIMBB1_IND,Division 1 Independents
NAIMBB2_IND,Division 2 Independents
NAIMBB1_EIAU,Eastern Intercollegiate Athletic Conference
NAIMBB1_FC,Frontier Conference
NAIMBB1_GSAC,Golden State Athletic Conference
NAIMBB2_GPAC,Great Plains Athletic Conference
NAIMBB1_GCAC,Gulf Coast Athletic Conference
NAIMBB1_HAAC,Heart of America Athletic Conference
NAIMBB2_KCAC,Kansas Collegiate Athletic Conference
NAIMBB2_KIAC,Kentucky Intercollegiate Athletic Conference
NAIMBB2_MCCC,Mid-Central College Conference
NAIMBB1_MSC,Mid-South Conference
NAIMBB2_MCAC,Midlands Collegiate Athletic Conference
NAIMBB2_MCC,Midwest Collegiate Conference
NAIMBB1_RRAC,Red River Athletic Conference
NAIMBB1_SAC,Sooner Athletic Conference
NAIMBB1_SSAC,Southern States Athletic Conference
NAIMBB2_SC,Sunrise Conference
NAIMBB2_FSC,The Sun Conference
NAIMBB1_TSAC,TranSouth Athletic Conference
NAIMBB2_WHAC,Wolverine-Hoosier Athletic Conference
