comp_id,conference_id,conference_name,game_date,home_name,home_href,home_id,away_name,away_href,away_id,score,time,conf_game,status,box_score_href
155248,NAIMBB1_AMWC,American Midwest Conference,"Tuesday October 30, 2012",Williams Baptist (Ark.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=465"">Williams Baptist (Ark.)</a>",465,BBC,BBC,,88-59,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;compID=155248"">88-59</a>"
150217,NAIMBB1_AMWC,American Midwest Conference,"Tuesday October 30, 2012",Lyon (Ark.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=411"">Lyon (Ark.)</a>",411,Mid-Continent (Ky.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=3200"">Mid-Continent (Ky.)</a>",3200,90-89,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;compID=150217"">90-89</a>"
153713,NAIMBB1_AMWC,American Midwest Conference,"Tuesday October 30, 2012",William Woods (Mo.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=8256"">William Woods (Mo.)</a>",8256,St. Louis Christian,St. Louis Christian,,79-42,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;compID=153713"">79-42</a>"
156200,NAIMBB1_AMWC,American Midwest Conference,"Tuesday October 30, 2012",Benedictine-Springfield (Ill.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=18936"">Benedictine-Springfield (Ill.)</a>",18936,Lindenwood-Belleville,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=18938"">Lindenwood-Belleville</a>",18938,67-76,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;compID=156200"">67-76</a>"
154526,NAIMBB1_AMWC,American Midwest Conference,"Thursday November 01, 2012",St. Ambrose (Iowa),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=587"">St. Ambrose (Iowa)</a>",587,Hannibal-LaGrange (Mo.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=394"">Hannibal-LaGrange (Mo.)</a>",394,70-63,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;compID=154526"">70-63</a>"
156452,NAIMBB1_AMWC,American Midwest Conference,"Thursday November 01, 2012",Missouri Baptist,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=414"">Missouri Baptist</a>",414,Benedictine (Kan.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=474"">Benedictine (Kan.)</a>",474,70-64,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;compID=156452"">70-64</a>"
149541,NAIMBB1_AMWC,American Midwest Conference,"Friday November 02, 2012",Park (Mo.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=425"">Park (Mo.)</a>",425,Central Methodist (Mo.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=494"">Central Methodist (Mo.)</a>",494,64-72,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;tour=890&amp;compID=149541"">64-72</a>"
151166,NAIMBB1_AMWC,American Midwest Conference,"Friday November 02, 2012",Columbia (Mo.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=382"">Columbia (Mo.)</a>",382,Concordia Seminary (Mo.),Concordia Seminary (Mo.),,117-46,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;compID=151166"">117-46</a>"
153669,NAIMBB1_AMWC,American Midwest Conference,"Friday November 02, 2012",Lyon (Ark.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=411"">Lyon (Ark.)</a>",411,Ecclesia College,Ecclesia College,,107-87,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;compID=153669"">107-87</a>"
154533,NAIMBB1_AMWC,American Midwest Conference,"Saturday November 03, 2012",Hannibal-LaGrange (Mo.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=394"">Hannibal-LaGrange (Mo.)</a>",394,Culver-Stockton (Mo.),"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;team=505"">Culver-Stockton (Mo.)</a>",505,71-78,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBB&amp;sea=NAIMBB_2012&amp;conference=NAIMBB1_AMWC&amp;compID=154533"">71-78</a>"
