BEGIN
SET
    date    |                  home                  |                  opp                  | t_score | o_score | h_str | o_str | pr_home 
 2015-02-21 | Davidson Wildcats                      | Fordham Rams                          |    80.4 |    62.0 |  1.17 |  0.90 |    0.93
 2015-02-21 | Delaware Fightin' Blue Hens            | Elon Phoenix                          |    68.2 |    66.1 |  0.89 |  0.87 |    0.58
 2015-02-21 | Duke Blue Devils                       | Clemson Tigers                        |    71.6 |    55.0 |  1.33 |  1.02 |    0.93
 2015-02-21 | Duquesne Dukes                         | Dayton Flyers                         |    61.5 |    71.0 |  0.94 |  1.09 |    0.19
 2015-02-21 | East Carolina Pirates                  | South Florida Bulls                   |    63.1 |    57.3 |  0.96 |  0.87 |    0.72
 2015-02-21 | Fairfield Stags                        | Saint Peter's Peacocks                |    53.5 |    55.6 |  0.89 |  0.92 |    0.41
 2015-02-21 | Florida Atlantic Owls                  | Rice Owls                             |    59.6 |    57.2 |  0.92 |  0.89 |    0.60
 2015-02-21 | Florida Gulf Coast Eagles              | South Carolina Upstate Spartans       |    61.5 |    57.6 |  1.02 |  0.95 |    0.66
 2015-02-21 | Florida International Panthers         | North Texas Mean Green                |    60.6 |    57.9 |  0.93 |  0.88 |    0.61
 2015-02-21 | Gardner-Webb Runnin' Bulldogs          | Liberty Flames                        |    73.3 |    59.3 |  0.95 |  0.77 |    0.89
 2015-02-21 | George Mason Patriots                  | Rhode Island Rams                     |    56.6 |    63.2 |  0.96 |  1.07 |    0.25
 2015-02-21 | Georgetown Hoyas                       | DePaul Blue Demons                    |    76.6 |    61.7 |  1.22 |  0.98 |    0.90
 2015-02-21 | Georgia Southern Eagles                | South Alabama Jaguars                 |    71.5 |    58.7 |  1.02 |  0.84 |    0.88
 2015-02-21 | Georgia State Panthers                 | Appalachian State Mountaineers        |    71.4 |    54.4 |  1.10 |  0.84 |    0.94
 2015-02-21 | Grand Canyon Antelopes                 | New Mexico State Aggies               |    60.4 |    66.8 |  0.93 |  1.02 |    0.27
 2015-02-21 | Hampton Pirates                        | Delaware State Hornets                |    67.8 |    64.7 |  0.89 |  0.85 |    0.61
 2015-02-21 | Harvard Crimson                        | Princeton Tigers                      |    63.4 |    54.1 |  1.09 |  0.93 |    0.83
 2015-02-21 | High Point Panthers                    | Presbyterian Blue Hose                |    70.7 |    53.5 |  1.00 |  0.76 |    0.94
 2015-02-21 | Houston Cougars                        | Cincinnati Bearcats                   |    53.1 |    60.9 |  0.94 |  1.08 |    0.20
 2015-02-21 | Illinois State Redbirds                | Loyola (IL) Ramblers                  |    62.3 |    53.6 |  1.12 |  0.96 |    0.82
 2015-02-21 | Incarnate Word Cardinals               | Texas A&M-Corpus Christi Islanders    |    72.6 |    64.7 |  0.98 |  0.87 |    0.76
 2015-02-21 | Indiana State Sycamores                | Southern Illinois Salukis             |    64.1 |    58.2 |  0.99 |  0.90 |    0.72
 2015-02-21 | Jackson State Tigers                   | Grambling Tigers                      |    66.4 |    47.7 |  0.86 |  0.62 |    0.96
 2015-02-21 | Jacksonville Dolphins                  | Lipscomb Bisons                       |    64.6 |    68.3 |  0.80 |  0.84 |    0.36
 2015-02-21 | Jacksonville State Gamecocks           | Tennessee State Tigers                |    59.6 |    54.1 |  0.86 |  0.78 |    0.72
