BEGIN
CREATE TABLE
INSERT 0 4039
INSERT 0 4036
INSERT 0 635
                 school                 | g  | w  | l  |  ew  | diff 
----------------------------------------+----+----+----+------+------
 San Francisco Dons                     | 26 | 10 | 16 | 14.2 | -4.2
 Florida Gators                         | 26 | 13 | 13 | 17.1 | -4.1
 Idaho State Bengals                    | 24 |  4 | 20 |  7.8 | -3.8
 North Carolina-Greensboro Spartans     | 25 |  5 | 20 |  8.7 | -3.7
 Vermont Catamounts                     | 26 | 15 | 11 | 18.4 | -3.4
 Cal State Bakersfield Roadrunners      | 25 |  9 | 16 | 12.4 | -3.4
 Morehead State Eagles                  | 26 | 10 | 16 | 13.1 | -3.1
 Nebraska-Omaha Mavericks               | 25 |  8 | 17 | 10.9 | -2.9
 Campbell Fighting Camels               | 25 |  6 | 19 |  8.9 | -2.9
 Cal State Northridge Matadors          | 26 |  5 | 21 |  7.9 | -2.9
 Ball State Cardinals                   | 23 |  6 | 17 |  8.8 | -2.8
 Fairfield Stags                        | 27 |  6 | 21 |  8.8 | -2.8
 Bradley Braves                         | 27 |  7 | 20 |  9.7 | -2.7
 Southern Illinois Salukis              | 27 |  9 | 18 | 11.7 | -2.7
 Maryland-Baltimore County Retrievers   | 26 |  3 | 23 |  5.7 | -2.7
 Liberty Flames                         | 24 |  3 | 21 |  5.6 | -2.6
 Louisiana-Lafayette Ragin' Cajuns      | 24 | 12 | 12 | 14.6 | -2.6
 Hofstra Pride                          | 28 | 18 | 10 | 20.6 | -2.6
 Ohio State Buckeyes                    | 26 | 19 |  7 | 21.6 | -2.6
 Vanderbilt Commodores                  | 25 | 13 | 12 | 15.4 | -2.4
 Richmond Spiders                       | 26 | 14 | 12 | 16.4 | -2.4
 Arizona State Sun Devils               | 26 | 14 | 12 | 16.4 | -2.4
 College of Charleston Cougars          | 28 |  8 | 20 | 10.4 | -2.4
 Niagara Purple Eagles                  | 26 |  5 | 21 |  7.4 | -2.4
 Southeastern Louisiana Lions           | 24 |  7 | 17 |  9.3 | -2.3
 Illinois State Redbirds                | 26 | 15 | 11 | 17.3 | -2.3
 Columbia Lions                         | 22 | 11 | 11 | 13.3 | -2.3
 Charlotte 49ers                        | 26 | 11 | 15 | 13.3 | -2.3
 Florida Atlantic Owls                  | 22 |  6 | 16 |  8.2 | -2.2
 North Carolina A&T Aggies              | 25 |  4 | 21 |  6.2 | -2.2
 Dartmouth Big Green                    | 23 |  9 | 14 | 11.1 | -2.1
 New Mexico State Aggies                | 26 | 16 | 10 | 18.1 | -2.1
 Xavier Musketeers                      | 27 | 17 | 10 | 19.1 | -2.1
 California-Santa Barbara Gauchos       | 23 | 11 | 12 | 13.0 | -2.0
 Austin Peay Governors                  | 24 |  5 | 19 |  7.0 | -2.0
 Illinois-Chicago Flames                | 26 |  5 | 21 |  7.0 | -2.0
 Nevada Wolf Pack                       | 23 |  6 | 17 |  7.9 | -1.9
 Houston Cougars                        | 25 |  9 | 16 | 10.9 | -1.9
 Furman Paladins                        | 24 |  5 | 19 |  6.9 | -1.9
 Colgate Raiders                        | 27 | 12 | 15 | 13.9 | -1.9
 Central Arkansas Bears                 | 23 |  1 | 22 |  2.9 | -1.9
 Idaho Vandals                          | 22 |  9 | 13 | 10.8 | -1.8
 Alcorn State Braves                    | 23 |  4 | 19 |  5.8 | -1.8
 Michigan State Spartans                | 26 | 18 |  8 | 19.8 | -1.8
 Tennessee State Tigers                 | 25 |  3 | 22 |  4.8 | -1.8
 Texas Longhorns                        | 26 | 17 |  9 | 18.8 | -1.8
 Duquesne Dukes                         | 23 |  7 | 16 |  8.8 | -1.8
 Marist Red Foxes                       | 27 |  5 | 22 |  6.8 | -1.8
 San Diego Toreros                      | 27 | 13 | 14 | 14.7 | -1.7
 Troy Trojans                           | 23 |  8 | 15 |  9.7 | -1.7
 New Orleans Privateers                 | 18 |  4 | 14 |  5.7 | -1.7
 Fordham Rams                           | 23 |  7 | 16 |  8.7 | -1.7
 Longwood Lancers                       | 26 |  6 | 20 |  7.6 | -1.6
 Rice Owls                              | 22 |  7 | 15 |  8.6 | -1.6
 Bethune-Cookman Wildcats               | 24 |  7 | 17 |  8.6 | -1.6
 Central Connecticut State Blue Devils  | 28 |  4 | 24 |  5.6 | -1.6
 Denver Pioneers                        | 26 | 10 | 16 | 11.6 | -1.6
 Arkansas-Little Rock Trojans           | 25 | 10 | 15 | 11.6 | -1.6
 Jackson State Tigers                   | 26 |  8 | 18 |  9.6 | -1.6
 South Carolina Gamecocks               | 24 | 12 | 12 | 13.5 | -1.5
 Eastern Kentucky Colonels              | 24 | 14 | 10 | 15.5 | -1.5
 Southern Utah Thunderbirds             | 23 |  6 | 17 |  7.5 | -1.5
 Saint Peter's Peacocks                 | 28 | 13 | 15 | 14.5 | -1.5
 Boston College Eagles                  | 25 |  9 | 16 | 10.5 | -1.5
 Minnesota Golden Gophers               | 26 | 15 | 11 | 16.5 | -1.5
 Missouri Tigers                        | 25 |  6 | 19 |  7.5 | -1.5
 Winthrop Eagles                        | 23 | 12 | 11 | 13.5 | -1.5
 Virginia Military Institute Keydets    | 24 |  8 | 16 |  9.5 | -1.5
 Binghamton Bearcats                    | 27 |  4 | 23 |  5.5 | -1.5
 Detroit Mercy Titans                   | 27 | 10 | 17 | 11.5 | -1.5
 Oklahoma Sooners                       | 26 | 18 |  8 | 19.4 | -1.4
 William & Mary Tribe                   | 24 | 14 | 10 | 15.4 | -1.4
 San Jose State Spartans                | 23 |  0 | 23 |  1.4 | -1.4
 Prairie View Panthers                  | 24 |  8 | 16 |  9.4 | -1.4
 Georgia Tech Yellow Jackets            | 26 | 12 | 14 | 13.4 | -1.4
