year,team_id,team_name,team_url
2002,EST,Adecco Estudiantes,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=EST&seasoncode=U2002
2002,ZEL,BC FMP ZELEZNIK,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=ZEL&seasoncode=U2002     
2002,OOS,BC Oostende,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=OOS&seasoncode=U2002
2002,GRA,BCM Gravelines,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=GRA&seasoncode=U2002
2002,LLE,Caprabo Lleida,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=LLE&seasoncode=U2002
2002,CHO,Cholet Basket,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=CHO&seasoncode=U2002
2002,DAR,Darussafaka Istanbul,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=DAR&seasoncode=U2002
2002,JOV,DKV Joventut,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=JOV&seasoncode=U2002
2002,CHL,Elan Chalon,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=CHL&seasoncode=U2002
2002,ROS,Eurocellulari Roseto,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=ROS&seasoncode=U2002
2002,TRI,Generali Group Trieste,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=TRI&seasoncode=U2002
2002,FUE,Jabones Pardo Fuenlabrada,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=FUE&seasoncode=U2002
2002,LAS,KK Pivovarna Lasko,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=LAS&seasoncode=U2002
2002,ZAD,KK Zadar,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=ZAD&seasoncode=U2002
2002,MES,KRKA Novo Mesto,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=MES&seasoncode=U2002
2002,VAR,Metis Varese,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=VAR&seasoncode=U2002
2002,FRA,Opel Skyliners,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=FRA&seasoncode=U2002
2002,PAM,Pamesa Valencia,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=PAM&seasoncode=U2002
2002,COL,RheinEnergie Cologne,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=COL&seasoncode=U2002
2002,AMS,Ricoh Astronauts,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=AMS&seasoncode=U2002
2002,UDI,Snaidero Udine,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=UDI&seasoncode=U2002
2002,CHA,Spirou Charleroi,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=CHA&seasoncode=U2002
2002,BON,Telekom Bonn,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=BON&seasoncode=U2002
2002,PEM,Ural Great Perm,http://www.eurocupbasketball.com/eurocup/competition/teams/showteam?clubcode=PEM&seasoncode=U2002
