BEGIN
SET
        team         | h_div |         opp          | v_div | t_score | o_score 
---------------------+-------+----------------------+-------+---------+---------
 Abilene Christian   |     2 | Tex. A&M-Commerce    |     2 |    84.8 |    68.2
 Adelphi             |     2 | Pace                 |     2 |    67.3 |    58.1
 Albertus Magnus     |     3 | New England Col.     |     3 |    81.1 |    68.3
 Anna Maria          |     3 | Cobleskill St.       |     3 |    55.8 |    58.9
 Augustana (IL)      |     3 | Blackburn            |     3 |    74.0 |    46.1
 Babson              |     3 | Wellesley            |     3 |    54.6 |    44.5
 Bates               |     3 | U New England        |     3 |    49.6 |    69.0
 Becker              |     3 | Elms                 |     3 |    54.9 |    66.0
 Benedictine (IL)    |     3 | Aurora               |     3 |    69.0 |    58.7
 Bentley             |     2 | Franklin Pierce      |     2 |    70.1 |    54.5
 Bloomfield          |     2 | Felician             |     2 |    65.2 |    49.2
 Bowie St.           |     2 | Glenville St.        |     2 |    72.4 |    80.8
 Brockport           |     3 | Oswego St.           |     3 |    41.7 |    57.2
 BYU                 |     1 | Utah St.             |     1 |    77.0 |    65.1
 Carnegie Mellon     |     3 | Allegheny            |     3 |    62.6 |    50.4
 Carroll (WI)        |     3 | Lawrence             |     3 |    75.3 |    47.7
 Chicago             |     3 | North Park           |     3 |    60.2 |    57.1
 Clark (MA)          |     3 | Mount Holyoke        |     3 |    63.9 |    54.2
 Colby-Sawyer        |     3 | Suffolk              |     3 |    62.0 |    61.2
 Colgate             |     1 | Columbia             |     1 |    60.1 |    43.6
 Concordia Chicago   |     3 | Rockford             |     3 |    59.0 |    49.3
 Dominican (IL)      |     3 | Wis. Lutheran        |     3 |    45.4 |    75.1
 Dowling             |     2 | LIU Post             |     2 |    66.7 |    58.3
 East Carolina       |     1 | N.C. Central         |     1 |    67.7 |    37.5
 Eastern Ill.        |     1 | Evansville           |     1 |    65.3 |    57.6
 East. Mennonite     |     3 | Mary Washington      |     3 |    64.6 |    52.7
 Edgewood            |     3 | Concordia (WI)       |     3 |    64.5 |    70.1
 Edinboro            |     2 | Davis & Elkins       |     2 |    77.1 |    67.4
 Emerson             |     3 | Tufts                |     3 |    42.3 |    69.0
 Emmanuel (MA)       |     3 | Amherst              |     3 |    53.3 |    55.8
 Ferrum              |     3 | Roanoke              |     3 |    79.6 |    48.7
 Florida             |     1 | Troy                 |     1 |   105.7 |    73.7
 Fontbonne           |     3 | Dubuque              |     3 |    52.9 |    66.2
 Frostburg St.       |     3 | Shenandoah           |     3 |    63.5 |    60.1
 Georgia             |     1 | Mercer               |     1 |    78.7 |    43.5
 Goldey-Beacom       |     2 | Georgian Court       |     2 |    72.4 |    62.5
 Gonzaga             |     1 | Eastern Wash.        |     1 |    65.5 |    50.3
 Green Mountain      |     3 | Sage Colleges        |     3 |    64.0 |    73.8
 Hartwick            |     3 | Utica                |     3 |    62.6 |    45.0
 Harvard             |     1 | Providence           |     1 |    73.3 |    60.0
 Hunter              |     3 | Mt. St. Mary (NY)    |     3 |    48.5 |    62.1
 Indiana             |     1 | Belmont              |     1 |    61.1 |    53.4
 Indiana St.         |     1 | Northern Ill.        |     1 |    57.6 |    51.7
 IPFW                |     1 | Valparaiso           |     1 |    60.4 |    61.7
 Ithaca              |     3 | Elmira               |     3 |    74.6 |    52.8
 James Madison       |     1 | Liberty              |     1 |    71.8 |    68.1
 Johns Hopkins       |     3 | Dickinson            |     3 |    63.3 |    66.8
 King (TN)           |     2 | Salem Int'l          |     2 |    70.0 |    50.2
 Knox                |     3 | Cornell College      |     3 |    53.8 |    94.8
 Lakeland            |     3 | Alverno              |     3 |    54.8 |    57.9
 Lander              |     2 | Erskine              |     2 |    71.2 |    56.5
 Lasell              |     3 | Fitchburg St.        |     3 |    60.8 |    64.7
