rd,name,p
4,UConn,0.992
4,Tennessee,0.920
4,South Carolina,0.902
4,Notre Dame,0.894
4,Baylor,0.845
4,Louisville,0.762
4,Maryland,0.700
4,Florida St.,0.689
4,Arizona St.,0.311
4,Duke,0.300
4,Dayton,0.238
4,Iowa,0.155
4,Stanford,0.106
4,North Carolina,0.098
4,Gonzaga,0.080
4,Texas,0.008
5,UConn,0.981
5,South Carolina,0.737
5,Notre Dame,0.628
5,Tennessee,0.478
5,Maryland,0.401
5,Baylor,0.327
5,Florida St.,0.182
5,Duke,0.113
5,Arizona St.,0.047
5,North Carolina,0.034
5,Stanford,0.026
5,Iowa,0.019
5,Louisville,0.014
5,Gonzaga,0.007
5,Texas,0.003
5,Dayton,0.002
6,UConn,0.958
6,South Carolina,0.444
6,Notre Dame,0.348
6,Baylor,0.132
6,Florida St.,0.056
6,Tennessee,0.017
6,Maryland,0.016
6,Arizona St.,0.008
6,Louisville,0.006
6,North Carolina,0.005
6,Stanford,0.004
6,Duke,0.002
6,Iowa,0.002
6,Texas,0.001
6,Gonzaga,0.000
6,Dayton,0.000
7,UConn,0.911
7,South Carolina,0.039
7,Notre Dame,0.028
7,Baylor,0.007
7,Maryland,0.006
7,Tennessee,0.005
7,Florida St.,0.002
7,Louisville,0.001
7,North Carolina,0.000
7,Stanford,0.000
7,Iowa,0.000
7,Texas,0.000
7,Arizona St.,0.000
7,Dayton,0.000
7,Gonzaga,0.000
7,Duke,0.000
