school_name,p
UConn,0.9138843625371490
South Carolina,0.0384039210370793
Notre Dame,0.0278563264976845
Tennessee,0.0053126263279417
Baylor,0.0047750605786911
Maryland,0.0047333444137150
Florida St.,0.0017364105758039
Louisville,0.0007067068901318
Princeton,0.0006729187369359
Oregon St.,0.0004425901097341
Duke,0.0004153201593556
South Fla.,0.0001987465039765
Arizona St.,0.0001389830853663
North Carolina,0.0001145519243877
Texas,0.0001000808864770
Stanford,0.0000761567138605
Mississippi St.,0.0000687062351850
Northwestern,0.0000466522983579
Kentucky,0.0000432111944679
Rutgers,0.0000352210867510
Iowa,0.0000321304208820
Texas A&M,0.0000280777465390
FGCU,0.0000280304300158
DePaul,0.0000250703982243
Ohio St.,0.0000220054899054
Oklahoma,0.0000191902388759
Syracuse,0.0000180853615091
Dayton,0.0000115426936439
George Washington,0.0000096348282017
Washington,0.0000072714140658
Green Bay,0.0000064355862170
California,0.0000059337222623
James Madison,0.0000043843570119
Miami (FL),0.0000037733467236
Oklahoma St.,0.0000036834663105
Nebraska,0.0000031696467385
Arkansas,0.0000024415586638
UALR,0.0000017428525010
Chattanooga,0.0000009464813817
Pittsburgh,0.0000009023680470
Western Ky.,0.0000008377430475
Wichita St.,0.0000006792542143
Iowa St.,0.0000006343479682
LSU,0.0000002760710198
Seton Hall,0.0000002332498812
Tulane,0.0000002260227750
Quinnipiac,0.0000002235612866
Ohio,0.0000002220064169
Minnesota,0.0000001472764961
Gonzaga,0.0000000625858931
South Dakota St.,0.0000000556598152
Albany (NY),0.0000000330467897
CSUN,0.0000000144433966
American,0.0000000021474494
Montana,0.0000000015016739
BYU,0.0000000006210788
Boise St.,0.0000000001529266
Liberty,0.0000000001064005
Tennessee St.,0.0000000000004758
New Mexico St.,0.0000000000001487
Savannah St.,0.0000000000000684
St. Francis Brooklyn,0.0000000000000052
Northwestern St.,0.0000000000000003
Alabama St.,0.0000000000000001
