BEGIN
     school_name      |         p          
----------------------+--------------------
 UConn                | 0.9130864394725740
 South Carolina       | 0.0385931026419779
 Notre Dame           | 0.0278895569462390
 Baylor               | 0.0052664287350685
 Tennessee            | 0.0052654048424689
 Maryland             | 0.0046761661285510
 Florida St.          | 0.0017619934618538
 Louisville           | 0.0007184572779764
 Princeton            | 0.0006601824252158
 Oregon St.           | 0.0005762538365983
 Duke                 | 0.0004364314217510
 South Fla.           | 0.0002016092311847
 Arizona St.          | 0.0001360978787866
 Texas                | 0.0001326925895369
 North Carolina       | 0.0001161638196204
 Mississippi St.      | 0.0000831628217772
 Stanford             | 0.0000715175626676
 Kentucky             | 0.0000423675357180
 Iowa                 | 0.0000380681519107
 Rutgers              | 0.0000326947969611
 Syracuse             | 0.0000301478476054
 Texas A&M            | 0.0000292240180956
 FGCU                 | 0.0000283145249895
 DePaul               | 0.0000282623542885
 Ohio St.             | 0.0000223003442775
 Oklahoma             | 0.0000193931300637
 Dayton               | 0.0000172100163290
 California           | 0.0000077769372345
 Miami (FL)           | 0.0000072648311918
 Arkansas             | 0.0000072208382117
 Green Bay            | 0.0000055257693931
 James Madison        | 0.0000040942135080
 Oklahoma St.         | 0.0000038837789637
 UALR                 | 0.0000019164553436
 Pittsburgh           | 0.0000008215795538
 Chattanooga          | 0.0000008122758616
 LSU                  | 0.0000002711805925
 Quinnipiac           | 0.0000002001345161
 Ohio                 | 0.0000001998686962
 Seton Hall           | 0.0000001844669978
 Gonzaga              | 0.0000001696752927
 CSUN                 | 0.0000000134180838
 BYU                  | 0.0000000005246946
 Boise St.            | 0.0000000001323251
 Liberty              | 0.0000000001053391
 New Mexico St.       | 0.0000000000001091
 St. Francis Brooklyn | 0.0000000000000041
 Alabama St.          | 0.0000000000000001
(48 rows)

COPY 48
COMMIT
