2015,BAM,10,W,home,Dinamo Banco di Sardegna Sassari,vs Dinamo Banco di Sardegna Sassari,http://www.euroleague.net/main/results/showgame?gamecode=120&seasoncode=E2015,120,86,54,
2015,BAM,11,L,away,Real Madrid,at Real Madrid,http://www.euroleague.net/main/results/showgame?gamecode=125&seasoncode=E2015,125,82,79,
2015,BAM,12,W,home,Zalgiris Kaunas,vs Zalgiris Kaunas,http://www.euroleague.net/main/results/showgame?gamecode=136&seasoncode=E2015,136,96,63,
2015,BAM,13,W,away,Olympiacos Piraeus,at Olympiacos Piraeus,http://www.euroleague.net/main/results/showgame?gamecode=142&seasoncode=E2015,142,72,77,
2015,BAM,14,L,away,Khimki Moscow Region,at Khimki Moscow Region,http://www.euroleague.net/main/results/showgame?gamecode=151&seasoncode=E2015,151,78,61,
2015,BAM,15,L,away,CSKA Moscow,at CSKA Moscow,http://www.euroleague.net/main/results/showgame?gamecode=159&seasoncode=E2015,159,91,70,
2015,BAM,16,W,home,FC Barcelona Lassa,vs FC Barcelona Lassa,http://www.euroleague.net/main/results/showgame?gamecode=166&seasoncode=E2015,166,74,70,
2015,BAM,17,L,away,Laboral Kutxa Vitoria Gasteiz,at Laboral Kutxa Vitoria Gasteiz,http://www.euroleague.net/main/results/showgame?gamecode=176&seasoncode=E2015,176,90,64,
2015,BAM,18,L,home,Real Madrid,vs Real Madrid,http://www.euroleague.net/main/results/showgame?gamecode=181&seasoncode=E2015,181,86,90,
2015,BAM,19,L,away,Zalgiris Kaunas,at Zalgiris Kaunas,http://www.euroleague.net/main/results/showgame?gamecode=192&seasoncode=E2015,192,75,73,
2015,BAM,20,W,home,Olympiacos Piraeus,vs Olympiacos Piraeus,http://www.euroleague.net/main/results/showgame?gamecode=198&seasoncode=E2015,198,72,71,
2015,BAM,21,W,home,Khimki Moscow Region,vs Khimki Moscow Region,http://www.euroleague.net/main/results/showgame?gamecode=207&seasoncode=E2015,207,84,79,
2015,BAM,22,W,home,CSKA Moscow,vs CSKA Moscow,http://www.euroleague.net/main/results/showgame?gamecode=215&seasoncode=E2015,215,91,83,
2015,BAM,23,L,away,FC Barcelona Lassa,at FC Barcelona Lassa,http://www.euroleague.net/main/results/showgame?gamecode=222&seasoncode=E2015,222,75,57,
2015,BAM,24,W,home,Laboral Kutxa Vitoria Gasteiz,vs Laboral Kutxa Vitoria Gasteiz,http://www.euroleague.net/main/results/showgame?gamecode=232&seasoncode=E2015,232,89,69,
2015,CED,1,L,away,Olympiacos Piraeus,at Olympiacos Piraeus,http://www.euroleague.net/main/results/showgame?gamecode=5&seasoncode=E2015,5,76,61,
