date,site,home,div,score,away,div,score
2015-03-22,home,Baylor,1,68.3,Arkansas,1,53.8
2015-03-22,home,California,1,60.5,Texas,1,61.2
2015-03-22,home,Duke,1,63.6,Mississippi St.,1,58.2
2015-03-22,home,East Carolina,1,64.5,North Carolina St.,1,59.4
2015-03-22,home,Iowa,1,73.5,Miami (FL),1,67.5
2015-03-22,home,Kansas St.,1,56.3,Missouri,1,54.1
2015-03-22,home,Kentucky,1,77.8,Dayton,1,71.9
2015-03-22,home,Mercer,1,63.6,Marshall,1,61.1
2015-03-22,home,Middle Tenn.,1,73.1,Arkansas St.,1,60.9
2015-03-22,home,Northern Colo.,1,68.3,South Dakota,1,65.2
2015-03-22,home,Notre Dame,1,89.4,DePaul,1,67.3
2015-03-22,home,Ole Miss,1,68.0,Georgia Tech,1,68.0
2015-03-22,home,Oregon St.,1,69.0,Gonzaga,1,54.4
2015-03-22,home,Penn,1,60.7,Temple,1,56.4
2015-03-22,home,San Diego,1,61.7,UCLA,1,62.3
2015-03-22,home,South Carolina,1,72.5,Syracuse,1,54.3
2015-03-22,home,Southern Miss.,1,68.4,TCU,1,68.3
2015-03-22,home,St. John's (NY),1,54.1,Fordham,1,48.7
2015-03-22,home,Tulsa,1,69.3,Eastern Mich.,1,64.7
2015-03-22,home,Villanova,1,59.4,Old Dominion,1,49.2
2015-03-22,home,Xavier,1,60.3,Siena,1,55.4
2015-03-23,home,New Mexico,1,59.3,Oral Roberts,1,52.7
2015-03-23,home,Sacramento St.,1,85.8,Eastern Wash.,1,80.3
2015-03-23,home,St. Mary's (CA),1,57.9,Fresno St.,1,56.2
2015-03-23,home,Toledo,1,60.9,Michigan,1,69.3
2015-03-24,neutral,California Baptist,2,70.2,New Haven,2,73.3
2015-03-24,neutral,California (PA),2,65.2,Nova Southeastern,2,63.0
2015-03-24,home,Duquesne,1,67.6,Richmond,1,58.5
2015-03-24,neutral,Emporia St.,2,71.4,West Tex. A&M,2,59.2
2015-03-24,neutral,Lewis,2,72.3,Limestone,2,67.4
2015-03-24,neutral,Limestone,2,67.4,Lewis,2,72.3
2015-03-24,neutral,New Haven,2,73.3,California Baptist,2,70.2
2015-03-24,neutral,Nova Southeastern,2,63.0,California (PA),2,65.2
2015-03-24,neutral,West Tex. A&M,2,59.2,Emporia St.,2,71.4
2015-03-24,home,West Virginia,1,62.8,Hampton,1,51.8
