BEGIN
 year | div | div |  won  | lost  | tied | count 
------+-----+-----+-------+-------+------+-------
 2002 |   1 |   1 |  9230 |  9230 |    0 | 18460
 2002 |   1 |   2 |   166 |    37 |    0 |   203
 2002 |   1 |   3 |    10 |     0 |    0 |    10
 2002 |   2 |   2 |  5713 |  5713 |    0 | 11426
 2002 |   2 |   3 |   139 |    59 |    0 |   198
 2002 |   3 |   3 |  7568 |  7568 |    0 | 15136
 2003 |   1 |   1 |  9376 |  9376 |    0 | 18752
 2003 |   1 |   2 |    67 |    26 |    0 |    93
 2003 |   1 |   3 |    18 |     0 |    0 |    18
 2003 |   2 |   2 |  6818 |  6818 |    0 | 13636
 2003 |   2 |   3 |   122 |    53 |    0 |   175
 2003 |   3 |   3 |  8719 |  8719 |    0 | 17438
 2004 |   1 |   1 |  9368 |  9368 |    0 | 18736
 2004 |   1 |   2 |    60 |    24 |    0 |    84
 2004 |   1 |   3 |    10 |     0 |    0 |    10
 2004 |   2 |   2 |  7002 |  7002 |    0 | 14004
 2004 |   2 |   3 |   130 |    74 |    0 |   204
 2004 |   3 |   3 |  9109 |  9109 |    0 | 18218
 2005 |   1 |   1 |  9426 |  9426 |    0 | 18852
 2005 |   1 |   2 |    98 |    46 |    0 |   144
 2005 |   1 |   3 |    45 |    39 |    0 |    84
 2005 |   2 |   2 |  7017 |  7017 |    0 | 14034
 2005 |   2 |   3 |   107 |    17 |    0 |   124
 2005 |   3 |   3 |  9404 |  9404 |    0 | 18808
 2006 |   1 |   1 |  9572 |  9572 |    0 | 19144
 2006 |   1 |   2 |   100 |     8 |    0 |   108
 2006 |   1 |   3 |    28 |     1 |    0 |    29
 2006 |   2 |   2 |  7071 |  7071 |    0 | 14142
 2006 |   2 |   3 |   114 |    17 |    0 |   131
 2006 |   3 |   3 | 10243 | 10243 |    0 | 20486
 2007 |   1 |   1 | 10134 | 10134 |    0 | 20268
 2007 |   1 |   2 |    95 |    23 |    0 |   118
 2007 |   1 |   3 |    19 |     4 |    0 |    23
 2007 |   2 |   2 |  6945 |  6945 |    0 | 13890
 2007 |   2 |   3 |   118 |    13 |    0 |   131
 2007 |   3 |   3 | 10172 | 10172 |    0 | 20344
 2008 |   1 |   1 | 10326 | 10326 |    0 | 20652
 2008 |   1 |   2 |    99 |    21 |    0 |   120
 2008 |   1 |   3 |    19 |     1 |    0 |    20
 2008 |   2 |   2 |  7087 |  7087 |    0 | 14174
 2008 |   2 |   3 |   146 |    19 |    0 |   165
 2008 |   3 |   3 | 10357 | 10357 |    0 | 20714
 2009 |   1 |   1 | 10338 | 10338 |    0 | 20676
 2009 |   1 |   2 |   149 |    27 |    0 |   176
 2009 |   1 |   3 |    15 |     1 |    0 |    16
 2009 |   2 |   2 |  7367 |  7367 |    0 | 14734
 2009 |   2 |   3 |    91 |    16 |    0 |   107
 2009 |   3 |   3 | 10664 | 10664 |    0 | 21328
 2010 |   1 |   1 | 10616 | 10616 |    0 | 21232
 2010 |   1 |   2 |    98 |    10 |    0 |   108
 2010 |   1 |   3 |    18 |     0 |    0 |    18
 2010 |   2 |   2 |  7747 |  7747 |    0 | 15494
 2010 |   2 |   3 |    88 |    18 |    0 |   106
 2010 |   3 |   3 | 10662 | 10662 |    0 | 21324
 2011 |   1 |   1 | 10572 | 10572 |    0 | 21144
 2011 |   1 |   2 |    96 |    16 |    0 |   112
 2011 |   1 |   3 |    28 |     8 |    0 |    36
 2011 |   2 |   2 |  7340 |  7340 |    0 | 14680
 2011 |   2 |   3 |    83 |    14 |    0 |    97
 2011 |   3 |   3 | 10744 | 10744 |    0 | 21488
 2012 |   1 |   1 | 10510 | 10510 |    0 | 21020
 2012 |   1 |   2 |   132 |    14 |    0 |   146
 2012 |   1 |   3 |    32 |     0 |    0 |    32
 2012 |   2 |   2 |  7206 |  7206 |    0 | 14412
 2012 |   2 |   3 |    58 |    14 |    0 |    72
 2012 |   3 |   3 | 10717 | 10717 |    0 | 21434
 2013 |   1 |   1 |  2290 |  2290 |    0 |  4580
 2013 |   1 |   2 |    43 |     5 |    0 |    48
 2013 |   1 |   3 |    15 |     0 |    0 |    15
 2013 |   2 |   2 |  1326 |  1326 |    0 |  2652
 2013 |   2 |   3 |    31 |     4 |    0 |    35
 2013 |   3 |   3 |  2183 |  2183 |    0 |  4366
(72 rows)

COMMIT
