year,team_id,team_name,wins,losses,ties,total_games
2006,26172,A&M-Corpus Chris,16,12,0,28
2006,2,Abilene Christian,12,15,0,27
2006,929,Adams St.,4,23,0,27
2006,3,Adelphi,15,13,0,28
2006,4,Adrian,9,16,0,25
2006,11324,Agnes Scott,15,13,0,28
2006,721,Air Force,13,15,0,28
2006,5,Akron,5,23,0,28
2006,10,Ala.-Huntsville,14,13,0,27
2006,8,Alabama,9,19,0,28
2006,6,Alabama A&M,13,16,0,29
2006,7,Alabama St.,15,15,0,30
2006,11,Alas. Anchorage,13,14,0,27
2006,12,Alas. Fairbanks,7,19,0,26
2006,14,Albany (NY),7,21,0,28
2006,13,Albany St. (GA),12,16,0,28
2006,2798,Albertus Magnus,8,17,0,25
2006,15,Albion,17,9,0,26
2006,16,Albright,14,11,0,25
2006,17,Alcorn,11,16,0,27
2006,934,Alderson-Broaddus,1,24,0,25
2006,18,Alfred,5,20,0,25
2006,19,Allegheny,18,9,0,27
2006,21,Alma,13,12,0,25
2006,938,Alvernia,14,13,0,27
2006,28746,Alverno,5,21,0,26
2006,23,American,7,21,0,28
2006,22,American Int'l,26,8,0,34
2006,24,Amherst,10,15,0,25
2006,939,Anderson (IN),16,11,0,27
2006,13028,Anderson (SC),27,5,0,32
2006,25,Angelo St.,22,9,0,31
2006,26,Anna Maria,8,17,0,25
2006,27,Appalachian St.,15,13,0,28
2006,966,Arcadia,12,13,0,25
2006,29,Arizona,8,22,0,30
2006,28,Arizona St.,25,7,0,32
2006,8411,Ark.-Monticello,15,13,0,28
2006,2678,Ark.-Pine Bluff,7,21,0,28
2006,31,Arkansas,13,15,0,28
2006,30,Arkansas St.,15,15,0,30
2006,947,Arkansas Tech,15,12,0,27
2006,33,Armstrong,15,13,0,28
2006,725,Army,20,11,0,31
2006,35,Ashland,21,11,0,32
2006,36,Assumption,15,14,0,29
2006,37,Auburn,14,15,0,29
2006,38,Augsburg,7,18,0,25
2006,39,Augusta St.,13,18,0,31
2006,40,Augustana (IL),6,19,0,25
2006,41,Augustana (SD),21,10,0,31
2006,42,Aurora,14,13,0,27
2006,953,Austin,14,12,0,26
2006,43,Austin Peay,15,13,0,28
2006,44,Averett,11,15,0,26
2006,45,Babson,14,11,0,25
2006,46,Baldwin Wallace,27,5,0,32
2006,47,Ball St.,17,12,0,29
2006,958,Baptist Bible (PA),21,9,0,30
2006,962,Bard,5,18,0,23
2006,49,Barry,10,19,0,29
2006,15646,Barton,23,8,0,31
2006,58,Baruch,23,7,0,30
2006,50,Bates,19,9,0,28
2006,26520,Bay Path,2,19,0,21
2006,51,Baylor,26,7,0,33
2006,26107,Becker,8,17,0,25
2006,52,Bellarmine,14,14,0,28
2006,14927,Belmont,22,8,0,30
2006,2683,Belmont Abbey,15,13,0,28
2006,53,Beloit,5,17,0,22
2006,54,Bemidji St.,13,15,0,28
2006,55,Benedict,20,9,0,29
2006,296,Benedictine (IL),13,13,0,26
2006,14770,Bennett,7,12,2,21
2006,56,Bentley,20,13,0,33
2006,59,Bethany (WV),9,17,0,26
2006,30038,Bethany Lutheran,10,15,0,25
2006,60,Bethel (MN),13,13,0,26
2006,61,Bethune-Cookman,6,23,0,29
2006,62,Binghamton,17,12,0,29
2006,28593,Birmingham-So.,12,16,0,28
