Abilene Christian,2,2003,"Mcclure, Gina",292944,Fr.,2002-03,-,-,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-
Abilene Christian,2,2003,"Pruitt, Holly",162993,So.,2002-03,G,5-6,3,0,1,-,0,1,-,1,2,50.000,1,0.333,1,0.333,0,-,1,0.333,1,0.333,-,-,-
Abilene Christian,2,2003,"Riles, Stephanie",292945,Fr.,2002-03,-,-,29,70,138,50.725,0,3,-,40,61,65.574,93,3.207,12,0.414,9,0.310,26,0.897,180,6.207,-,-,-
Abilene Christian,2,2003,"Vinson, Jackie",66218,Jr.,2002-03,-,0-0,29,50,139,35.971,17,68,25.000,18,23,78.261,84,2.897,22,0.759,3,0.103,17,0.586,135,4.655,-,-,-
Abilene Christian,2,2003,"Wilson, Leah",162995,Jr.,2002-03,G,5-7,29,47,140,33.571,29,98,29.592,31,37,83.784,82,2.828,57,1.966,0,-,27,0.931,154,5.310,-,-,-
Academy of Art,30123,2003,-,0,-,2002-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2003,"Archuleta, Nichole",75574,Sr.,2002-03,G,5-6,5,14,35,40.000,9,23,39.130,3,6,50.000,11,2.200,13,2.600,0,-,2,0.400,40,8.000,-,-,-
Adams St.,929,2003,"Boyd, Heather",284950,Fr.,2002-03,F,5-0,2,0,1,-,0,0,-,0,0,-,1,0.500,0,-,0,-,0,-,-,-,-,-,-
Adams St.,929,2003,"Dunlap, Haley",284946,Fr.,2002-03,G,5-7,2,0,3,-,0,0,-,2,4,50.000,1,0.500,1,0.500,0,-,1,0.500,2,1.000,-,-,-
Adams St.,929,2003,"Hasselberg, Ashley",293332,Fr.,2002-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2003,"Hesselberg, Ashley",75569,So.,2002-03,G,5-6,13,7,25,28.000,2,7,28.571,7,10,70.000,6,0.462,8,0.615,0,-,4,0.308,23,1.769,-,-,-
Adams St.,929,2003,"Hoffman, Meagan",75573,So.,2002-03,F,6-1,27,145,310,46.774,2,7,28.571,82,121,67.769,199,7.370,47,1.741,4,0.148,44,1.630,374,13.852,-,-,-
Adams St.,929,2003,"Hutchins, Mandy",284951,Jr.,2002-03,F,6-0,25,112,187,59.893,1,12,8.333,69,94,73.404,128,5.120,24,0.960,13,0.520,28,1.120,294,11.760,-,-,-
Adams St.,929,2003,"Imadiyi, Tasha",284949,So.,2002-03,F,5-0,27,26,61,42.623,0,2,-,31,45,68.889,62,2.296,10,0.370,11,0.407,28,1.037,83,3.074,-,-,-
Adams St.,929,2003,"Johnson, Delaura",75570,Jr.,2002-03,G,5-6,21,14,43,32.558,9,24,37.500,13,18,72.222,22,1.048,16,0.762,0,-,16,0.762,50,2.381,-,-,-
Adams St.,929,2003,"Klecker, Stephanie",284952,Fr.,2002-03,G,5-5,17,1,6,16.667,0,0,-,0,0,-,7,0.412,2,0.118,0,-,1,0.059,2,0.118,-,-,-
Adams St.,929,2003,"Mccarroll, Holly",75572,Jr.,2002-03,G,5-7,27,32,123,26.016,24,82,29.268,17,21,80.952,41,1.519,32,1.185,7,0.259,18,0.667,105,3.889,-,-,-
Adams St.,929,2003,"Melvin, Jessica",284947,Jr.,2002-03,G,5-7,27,82,188,43.617,26,74,35.135,28,39,71.795,44,1.630,54,2.000,1,0.037,27,1.000,218,8.074,-,-,-
Adams St.,929,2003,"Murray, Hillary",75567,So.,2002-03,F,6-1,27,51,133,38.346,0,0,-,23,43,53.488,112,4.148,23,0.852,8,0.296,37,1.370,125,4.630,-,-,-
Adams St.,929,2003,"Nevarez, Clara",292357,Fr.,2002-03,G,5-5,18,9,45,20.000,1,7,14.286,21,28,75.000,23,1.278,27,1.500,1,0.056,18,1.000,40,2.222,-,-,-
Adams St.,929,2003,"Poole, Sarah",75568,Jr.,2002-03,G,5-8,27,51,139,36.691,9,27,33.333,32,51,62.745,67,2.481,54,2.000,12,0.444,37,1.370,143,5.296,-,-,-
Adams St.,929,2003,"Reynolds, Sara",284948,Fr.,2002-03,F,5-9,27,33,112,29.464,16,50,32.000,9,17,52.941,45,1.667,37,1.370,3,0.111,20,0.741,91,3.370,-,-,-
Adelbert,506445,2003,-,0,-,2002-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adelphi,3,2003,"Armijos, Eliana",66219,Sr.,2002-03,G,5-8,1,0,0,-,0,0,-,0,0,-,1,1.000,0,-,0,-,0,-,-,-,-,-,-
Adelphi,3,2003,"Butler, Amber",85728,Sr.,2002-03,G,5-7,23,18,44,40.909,0,1,-,20,31,64.516,54,2.348,8,0.348,3,0.130,6,0.261,56,2.435,-,-,-
Adelphi,3,2003,"Carpenter, Courtney",85727,So.,2002-03,F,6-1,17,41,94,43.617,0,0,-,23,32,71.875,93,5.471,7,0.412,4,0.235,15,0.882,105,6.176,-,-,-
Adelphi,3,2003,"Desio, Kristin",85725,So.,2002-03,G,5-7,9,2,9,22.222,0,2,-,2,2,100.000,4,0.444,1,0.111,0,-,0,-,6,0.667,-,-,-
Adelphi,3,2003,"Dlabola, Jesse",85720,So.,2002-03,G,5-4,27,125,346,36.127,43,118,36.441,77,112,68.750,83,3.074,124,4.593,3,0.111,140,5.185,370,13.704,-,-,-
Adelphi,3,2003,"Douglas, Jamie",66221,Jr.,2002-03,F,5-10,29,181,374,48.396,0,0,-,69,110,62.727,264,9.103,33,1.138,5,0.172,53,1.828,431,14.862,-,-,-
Adelphi,3,2003,"Hurdle, Carlyshia",283266,Fr.,2002-03,C,6-0,27,81,175,46.286,0,0,-,59,96,61.458,147,5.444,8,0.296,17,0.630,26,0.963,221,8.185,-,-,-
Adelphi,3,2003,"Hurdle, Carlisha",300308,Fr.,2002-03,-,-,1,7,14,50.000,0,0,-,4,4,100.000,7,7.000,0,-,2,2.000,2,2.000,18,18.000,-,-,-
