Abilene Christian,2,2013,"Werner, Steven",1398868,Sr.,2012-13,C,6-8,26,126,257,0.490,-,-,-,56,97,0.577,170,6.538,23,0.885,30,1.154,14,0.538,-,11.846,67
Abilene Christian,2,2013,"White, Charles",1398859,Sr.,2012-13,G,6-1,5,2,8,0.250,-,1,-,-,-,-,7,1.400,2,0.400,-,-,-,-,-,0.800,1
Abilene Christian,2,2013,"Woodberry, Desmond",1398866,Sr.,2012-13,G,6-2,8,15,37,0.405,-,5,-,3,10,0.300,39,4.875,24,3.000,1,0.125,11,1.375,-,4.125,10
Academy of Art,30123,2013,"Aikman, Aaron",1401970,Jr.,2012-13,F,6-8,17,23,38,0.605,-,-,-,13,35,0.371,57,3.353,10,0.588,6,0.353,10,0.588,-,3.471,13
Academy of Art,30123,2013,"Anderson, Aaron",1286931,So.,2012-13,G,6-0,25,77,167,0.461,-,-,-,33,59,0.559,74,2.960,34,1.360,2,0.080,20,0.800,-,7.480,25
Academy of Art,30123,2013,"Bamford, Frank",1401971,Fr.,2012-13,F,6-5,2,1,2,0.500,1,2,0.500,-,-,-,1,0.500,1,0.500,-,-,-,-,-,1.500,1
Academy of Art,30123,2013,"Carmon, Alex",1401966,Fr.,2012-13,G,6-3,25,122,260,0.469,15,41,0.366,112,139,0.806,120,4.800,61,2.440,5,0.200,28,1.120,371,14.840,57
Academy of Art,30123,2013,"Fisher, Bryan",1401967,Fr.,2012-13,G,6-4,23,99,252,0.393,33,95,0.347,52,80,0.650,114,4.957,109,4.739,12,0.522,41,1.783,283,12.304,75
Academy of Art,30123,2013,"Gray, Andre",1419314,Sr.,2012-13,G,6-3,9,4,8,0.500,1,3,0.333,2,2,1.000,6,0.667,1,0.111,-,-,-,-,11,1.222,1
Academy of Art,30123,2013,"Johnson, Akil",1286933,Fr.,2012-13,F,6-6,7,29,47,0.617,-,-,-,2,6,0.333,32,4.571,7,1.000,4,0.571,5,0.714,-,8.571,19
Academy of Art,30123,2013,"Jorritsma, Mike",1076034,Sr.,2012-13,C,6-9,24,12,26,0.462,-,-,-,7,16,0.438,53,2.208,6,0.250,5,0.208,13,0.542,-,1.292,21
Academy of Art,30123,2013,"Maza, Rodrigo",1401969,Jr.,2012-13,C,6-10,25,79,129,0.612,-,1,-,35,44,0.795,111,4.440,4,0.160,31,1.240,5,0.200,-,7.720,24
Academy of Art,30123,2013,"Prema, Jr., Ivan",1076033,Sr.,2012-13,G,6-1,25,53,134,0.396,16,48,0.333,25,36,0.694,78,3.120,32,1.280,6,0.240,26,1.040,147,5.880,40
Academy of Art,30123,2013,"Robotham, Czar",1183126,Jr.,2012-13,G,5-11,7,37,82,0.451,11,25,0.440,21,28,0.750,12,1.714,19,2.714,-,-,6,0.857,106,15.143,23
Academy of Art,30123,2013,"Shamsud-din, Ameer",1286932,Sr.,2012-13,G,6-2,25,141,325,0.434,44,123,0.358,84,106,0.792,96,3.840,96,3.840,1,0.040,40,1.600,410,16.400,96
Academy of Art,30123,2013,"Smith, Niles",1401972,Fr.,2012-13,F,6-7,7,1,1,1.000,-,-,-,-,-,-,2,0.286,1,0.143,-,-,-,-,-,0.286,-
Academy of Art,30123,2013,"Vinson, Garland",1425893,Fr.,2012-13,G,6-0,7,2,6,0.333,2,5,0.400,-,-,-,-,-,-,-,-,-,-,-,-,0.857,1
Adams St.,929,2013,"Abraham, Trev",1410640,Jr.,2012-13,G,5-9,24,32,86,0.372,9,26,0.346,10,18,0.556,33,1.375,45,1.875,1,0.042,9,0.375,83,3.458,38
Adams St.,929,2013,"Arnold, Norvell",1410646,Jr.,2012-13,F,6-6,28,119,267,0.446,19,74,0.257,82,115,0.713,107,3.821,19,0.679,13,0.464,20,0.714,339,12.107,64
Adams St.,929,2013,"Franklin, Christian",1410645,Jr.,2012-13,F,6-4,22,34,76,0.447,3,10,0.300,29,50,0.580,48,2.182,15,0.682,3,0.136,13,0.591,100,4.545,19
Adams St.,929,2013,"Hill, Jason",1418498,Sr.,2012-13,G,6-5,1,-,2,-,-,-,-,-,2,-,3,3.000,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Hunt, Colby Joe",1189081,Jr.,2012-13,G,5-11,12,2,9,0.222,1,4,0.250,1,2,0.500,2,0.167,3,0.250,-,-,1,0.083,6,0.500,-
Adams St.,929,2013,"Jackson, John",1189080,Sr.,2012-13,G,6-2,29,148,330,0.448,40,116,0.345,100,122,0.820,89,3.069,63,2.172,1,0.034,32,1.103,436,15.034,65
Adams St.,929,2013,"Kauffman, Justin",1297899,So.,2012-13,G,6-2,29,54,148,0.365,44,122,0.361,38,44,0.864,96,3.310,18,0.621,4,0.138,21,0.724,190,6.552,23
Adams St.,929,2013,"Lake, James",1297902,Sr.,2012-13,G,6-2,10,38,83,0.458,7,28,0.250,40,60,0.667,24,2.400,10,1.000,2,0.200,7,0.700,123,12.300,23
Adams St.,929,2013,"Machado, Bruno",1410642,Jr.,2012-13,F,6-5,29,22,44,0.500,-,-,-,22,35,0.629,79,2.724,12,0.414,1,0.034,13,0.448,-,2.276,23
Adams St.,929,2013,"McDaniels, Tyler",1410641,Jr.,2012-13,F,6-8,22,20,50,0.400,8,23,0.348,22,29,0.759,30,1.364,8,0.364,7,0.318,6,0.273,70,3.182,15
Adams St.,929,2013,"Novaes, Vinny",1297901,Sr.,2012-13,C,6-9,26,35,57,0.614,-,-,-,28,40,0.700,60,2.308,11,0.423,16,0.615,5,0.192,-,3.769,30
Adams St.,929,2013,"Pruitt, Kaimyn",1297904,Sr.,2012-13,F,6-8,26,137,249,0.550,8,26,0.308,121,158,0.766,260,10.000,55,2.115,36,1.385,49,1.885,403,15.500,96
Adams St.,929,2013,"Ruple, Steven",1410639,Jr.,2012-13,G,5-10,6,6,21,0.286,2,8,0.250,5,10,0.500,4,0.667,1,0.167,-,-,5,0.833,19,3.167,7
Adams St.,929,2013,"Silva, Rodrigo",1410643,Jr.,2012-13,C,6-10,29,50,102,0.490,5,20,0.250,6,15,0.400,109,3.759,15,0.517,39,1.345,10,0.345,111,3.828,29
Adams St.,929,2013,"Thompson, Marcus",1297900,Sr.,2012-13,F,6-5,21,10,22,0.455,1,11,0.091,6,11,0.545,28,1.333,5,0.238,1,0.048,2,0.095,27,1.286,7
Adams St.,929,2013,"Wheeler, Julian",1410644,Jr.,2012-13,G,6-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Young, Shaheed",1297898,Sr.,2012-13,G,5-10,24,54,132,0.409,28,62,0.452,68,87,0.782,57,2.375,75,3.125,1,0.042,32,1.333,204,8.500,49
Adelbert,506445,2013,-,0,-,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adelphi,3,2013,"Brown, Cliff",1292124,Sr.,2012-13,G,6-3,24,56,124,0.452,13,35,0.371,34,48,0.708,84,3.500,48,2.000,4,0.167,19,0.792,159,6.625,47
Adelphi,3,2013,"Calarco, John",1077993,Sr.,2012-13,G,6-2,28,120,269,0.446,36,87,0.414,55,68,0.809,97,3.464,49,1.750,7,0.250,17,0.607,331,11.821,65
Adelphi,3,2013,"Crawford, Sean",1400531,Sr.,2012-13,G,5-10,25,38,110,0.345,21,67,0.313,27,35,0.771,48,1.920,47,1.880,2,0.080,28,1.120,124,4.960,50
Adelphi,3,2013,"DeNicola, Ryan",1400536,Fr.,2012-13,C,6-7,29,35,81,0.432,-,1,-,9,22,0.409,60,2.069,9,0.310,8,0.276,5,0.172,-,2.724,28
Adelphi,3,2013,"Garcia, Chris",1292128,So.,2012-13,G,6-3,4,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,1,0.250,-,-,-
Adelphi,3,2013,"Jordan, Travis",1292123,Sr.,2012-13,F,6-6,21,6,26,0.231,5,19,0.263,5,8,0.625,10,0.476,2,0.095,-,-,5,0.238,22,1.048,6
Adelphi,3,2013,"Libroia, Anthony",1400532,Fr.,2012-13,G,5-10,29,89,219,0.406,49,121,0.405,29,48,0.604,86,2.966,85,2.931,1,0.034,29,1.000,256,8.828,62
Adelphi,3,2013,"Lulgjuraj, Lindon",1400535,Fr.,2012-13,G,6-2,4,1,1,1.000,-,-,-,1,1,1.000,1,0.250,-,-,-,-,-,-,-,0.750,-
Adelphi,3,2013,"Mitchell, Nayquann",1400530,Sr.,2012-13,F,6-8,25,32,87,0.368,-,3,-,7,10,0.700,51,2.040,10,0.400,11,0.440,12,0.480,-,2.840,11
Adelphi,3,2013,"Morgan, Duane",1292126,So.,2012-13,F,6-6,20,44,101,0.436,1,9,0.111,37,54,0.685,76,3.800,12,0.600,36,1.800,18,0.900,126,6.300,27
Adelphi,3,2013,"Pierrot, Dan",1400534,Fr.,2012-13,G,6-3,1,1,1,1.000,1,1,1.000,-,-,-,-,-,-,-,-,-,-,-,-,3.000,-
Adelphi,3,2013,"Ranglin, Chris",1077998,Sr.,2012-13,G,6-2,22,44,121,0.364,8,33,0.242,47,68,0.691,83,3.773,32,1.455,11,0.500,21,0.955,143,6.500,29
Adelphi,3,2013,"Samuels, RJ",1400533,Sr.,2012-13,G,6-3,22,33,75,0.440,-,2,-,14,35,0.400,86,3.909,19,0.864,6,0.273,12,0.545,-,3.636,28
Adelphi,3,2013,"Simpson, Bradley",1077999,Sr.,2012-13,F,6-7,29,121,275,0.440,13,40,0.325,77,120,0.642,197,6.793,29,1.000,12,0.414,25,0.862,332,11.448,36
Adelphi,3,2013,"Sullivan, Edward",1292127,So.,2012-13,G,6-0,27,9,53,0.170,1,17,0.059,13,22,0.591,38,1.407,23,0.852,4,0.148,13,0.481,32,1.185,18
