year	school_id	school_name	wins	losses	ties	total_games
2014	86	Buffalo	19	10	0	29
2014	253	Ga. Southern	15	19	0	34
2014	85	Buffalo St.	12	13	0	25
2014	1097	Ga. Southwestern	19	11	0	30
2014	1159	Keuka	6	17	0	23
2014	87	Butler	14	17	0	31
2014	245	Gallaudet	6	19	0	25
2014	30047	Keystone	11	15	0	26
2014	609	Saint Louis	27	7	0	34
2014	77	BYU	23	12	0	35
2014	246	Gannon	20	10	0	30
2014	30051	King (TN)	16	13	0	29
2014	2685	BYU-Hawaii	15	12	0	27
2014	733	Utica	8	17	0	25
2014	336	King's (PA)	14	11	0	25
2014	1092	Gardner-Webb	18	15	0	33
2014	362	LIU Post	17	12	0	29
2014	1343	Saint Martin's	9	17	0	26
2014	337	Knox	1	22	0	23
2014	412	Methodist	10	16	0	26
2014	30084	Geneva	7	21	0	28
2014	88	Cabrini	26	2	0	28
2014	339	Kutztown	10	17	0	27
2014	610	St. Mary's (CA)	23	12	0	35
2014	1094	George Fox	16	9	0	25
2014	706	UTSA	8	22	0	30
2014	413	Metro St.	32	2	0	34
2014	105	Cal Lutheran	19	8	0	27
2014	333	Ky. Wesleyan	22	9	0	31
2014	248	George Mason	11	20	0	31
2014	745	Va. Wesleyan	24	7	0	31
2014	415	Miami (FL)	17	16	0	33
2014	501	Northern Ariz.	15	17	0	32
2014	90	Cal Poly	14	20	0	34
2014	1163	La Roche	14	12	0	26
2014	611	St. Mary's (MD)	19	8	0	27
2014	249	George Washington	24	9	0	33
2014	734	Valdosta St.	16	12	0	28
2014	414	Miami (OH)	13	18	0	31
2014	502	Northern Colo.	18	14	0	32
2014	91	Cal Poly Pomona	22	7	0	29
2014	340	La Salle	15	16	0	31
2014	612	Saint Mary's (MN)	3	22	0	25
2014	251	Georgetown	18	15	0	33
2014	26172	A&M-Corpus Chris	18	16	0	34
2014	735	Valparaiso	18	16	0	34
2014	503	Northern Ill.	15	17	0	32
2014	418	Michigan	28	9	0	37
2014	94	Bakersfield	13	19	0	32
2014	1346	St. Mary's (TX)	19	9	0	28
2014	257	Georgia	20	14	0	34
2014	2	Abilene Christian	11	20	0	31
2014	736	Vanderbilt	15	16	0	31
2014	505	Northern Ky.	9	21	0	30
2014	416	Michigan St.	29	9	0	38
2014	95	Cal St. Chico	25	8	0	33
2014	613	Saint Michael's	18	9	0	27
2014	1096	Georgia College	10	16	0	26
2014	30123	Academy of Art	6	21	0	27
2014	737	Vassar	19	8	0	27
2014	341	La Verne	10	15	0	25
2014	506	Northern Mich.	5	21	0	26
2014	92	Cal St. Dom. Hills	7	22	0	29
2014	417	Michigan Tech	24	8	0	32
2014	614	St. Norbert	25	2	0	27
2014	254	Georgia St.	25	9	0	34
2014	929	Adams St.	17	10	0	27
2014	740	VCU	26	9	0	35
2014	671	La.-Lafayette	23	12	0	35
2014	1266	Northern St.	18	11	0	29
2014	419	Middle Tenn.	24	9	0	33
2014	98	Cal St. East Bay	7	21	0	28
2014	3	Adelphi	5	21	0	26
2014	255	Georgia Tech	16	17	0	33
2014	738	Vermont	22	11	0	33
2014	615	St. Olaf	22	6	0	28
2014	577	Ripon	15	9	0	24
2014	1267	Northland	5	20	0	25
2014	498	La.-Monroe	10	17	0	27
2014	420	Middlebury	17	9	0	26
2014	97	Cal St. Fullerton	11	20	0	31
2014	4	Adrian	5	20	0	25
2014	9004	Georgian Court	2	24	0	26
2014	739	Villanova	29	5	0	34
2014	18422	Rivier	10	16	0	26
2014	507	Northwest Mo. St.	24	9	0	33
2014	342	Lafayette	11	20	0	31
2014	100	Cal St. L.A.	15	12	0	27
2014	1222	Midwestern St.	24	8	0	32
2014	258	Gettysburg	12	13	0	25
2014	746	Virginia	30	7	0	37
2014	617	Saint Peter's	14	17	0	31
2014	578	Roanoke	12	13	0	25
2014	1274	Northwest Nazarene	7	19	0	26
2014	1162	LaGrange	18	11	0	29
2014	30055	Cal St. Monterey Bay	10	15	0	25
2014	721	Air Force	12	18	0	30
2014	1098	Glenville St.	18	11	0	29
2014	743	Virginia St.	14	13	0	27
2014	1347	Saint Rose	13	14	0	27
2014	579	Robert Morris	22	14	0	36
2014	509	Northwestern	14	19	0	33
2014	2746	Lake Erie	10	18	0	28
2014	5	Akron	21	13	0	34
2014	742	Virginia Tech	9	22	0	31
2014	8366	Goldey-Beacom	10	16	0	26
2014	618	St. Scholastica	11	15	0	26
2014	581	Rochester (NY)	10	15	0	25
2014	30031	Northwestern-St. Paul	16	12	0	28
2014	344	Lake Forest	8	15	0	23
2014	165	Coppin St.	12	20	0	32
2014	10	Ala.-Huntsville	15	13	0	28
2014	101	Cal St. Northridge	17	18	0	35
2014	260	Gonzaga	29	7	0	36
2014	744	Virginia Union	6	20	0	26
2014	620	St. Thomas (MN)	22	6	0	28
2014	580	Rochester Inst.	16	9	0	25
2014	508	Northwestern St.	17	14	0	31
2014	345	Lake Superior St.	27	6	0	33
2014	167	Cornell	2	26	0	28
2014	8	Alabama	13	19	0	32
2014	93	Cal St. San B'dino	24	5	0	29
2014	1099	Gordon	18	11	0	29
2014	741	VMI	22	13	0	35
2014	1348	St. Thomas Aquinas	15	14	0	29
2014	582	Rockford	10	15	0	25
2014	510	Northwood (MI)	18	13	0	31
2014	1164	Lakeland	19	8	0	27
2014	166	Cornell College	9	14	0	23
2014	6	Alabama A&M	14	16	0	30
2014	103	Cal St. Stanislaus	23	9	0	32
2014	1467	Goucher	10	15	0	25
2014	30064	Saint Vincent	22	7	0	29
2014	747	Wabash	8	17	0	25
2014	511	Norwich	6	20	0	26
2014	1328	Rockhurst	7	18	0	25
2014	346	Lamar	4	26	0	30
2014	169	Creighton	27	8	0	35
2014	995	Caldwell	17	12	0	29
2014	7	Alabama St.	19	13	0	32
2014	261	Grambling	5	24	0	29
2014	674	Stanford	23	13	0	36
2014	748	Wagner	19	12	0	31
2014	583	Roger Williams	10	16	0	26
2014	30085	Lancaster Bible	20	8	0	28
2014	513	Notre Dame	15	17	0	32
2014	30035	Crown (MN)	12	15	0	27
2014	107	California	21	14	0	35
2014	11	Alas. Anchorage	17	13	0	30
2014	749	Wake Forest	17	16	0	33
2014	675	Staten Island	28	3	0	31
2014	422	Miles	4	24	0	28
2014	584	Rollins	14	13	0	27
2014	1167	Lander	17	12	0	29
2014	170	Curry	5	20	0	25
2014	12	Alas. Fairbanks	18	10	0	28
2014	106	California (PA)	11	16	0	27
2014	750	Wartburg	13	13	0	26
2014	676	Stephen F. Austin	32	3	0	35
2014	423	Millersville	13	14	0	27
2014	585	Rose-Hulman	22	6	0	28
2014	1059	D'Youville	1	24	0	25
2014	347	Lane	3	20	0	23
2014	30056	Notre Dame de Namur	7	19	0	26
2014	14	Albany (NY)	19	15	0	34
2014	89	Caltech	3	22	0	25
2014	751	Wash. & Jeff.	13	13	0	26
2014	424	Millikin	8	17	0	25
2014	1044	Dallas	12	14	0	26
2014	15882	Rosemont	12	15	0	27
2014	8486	Lasell	18	12	0	30
2014	24639	Nova Southeastern	13	17	0	30
2014	13	Albany St. (GA)	15	13	0	28
2014	752	Wash. & Lee	8	20	0	28
2014	114	Calvin	24	6	0	30
2014	1045	Dallas Baptist	14	14	0	28
2014	678	Stetson	7	24	0	31
2014	1277	Nyack	10	16	0	26
2014	259	Rowan	12	13	0	25
2014	2798	Albertus Magnus	28	3	0	31
2014	348	Lawrence	12	11	0	23
2014	2814	Washburn	17	10	0	27
2014	2691	Daniel Webster	16	10	0	26
2014	996	Cameron	11	15	0	26
2014	426	Millsaps	8	16	0	24
2014	477	NYIT	10	16	0	26
2014	679	Stevens	18	10	0	28
2014	15	Albion	14	12	0	26
2014	586	Rust	5	18	0	23
2014	349	Le Moyne	17	12	0	29
2014	756	Washington	17	15	0	32
2014	172	Dartmouth	12	16	0	28
2014	115	Campbell	12	20	0	32
2014	797	Milwaukee	21	14	0	35
2014	21852	Stevenson	21	8	0	29
2014	514	Oakland	13	20	0	33
2014	587	Rutgers	12	21	0	33
2014	16	Albright	13	13	0	26
2014	351	Lebanon Valley	9	16	0	25
2014	116	Canisius	21	13	0	34
2014	20220	MSOE	21	5	0	26
2014	173	Davidson	20	13	0	33
2014	680	Stillman	16	13	0	29
2014	588	Rutgers-Camden	4	21	0	25
2014	17	Alcorn	12	19	0	31
2014	1278	Oakland City	21	6	0	27
2014	753	Washington Col.	5	20	0	25
2014	117	Capital	12	14	0	26
2014	13302	Lees-McRae	7	20	0	27
2014	1104	Grand Canyon	15	15	0	30
2014	427	Minn. Duluth	12	15	0	27
2014	174	Davis & Elkins	13	17	0	30
2014	682	Stonehill	8	18	0	26
2014	589	Rutgers-Newark	20	9	0	29
2014	934	Alderson Broaddus	24	5	0	29
2014	515	Oberlin	7	19	0	26
2014	118	Carleton	9	16	0	25
2014	754	Washington St.	10	21	0	31
2014	262	Grand Valley St.	19	8	0	27
2014	383	Minn. St. Mankato	30	5	0	35
2014	352	Lehigh	14	18	0	32
2014	175	Dayton	26	11	0	37
2014	683	Stony Brook	23	11	0	34
2014	516	Occidental	11	14	0	25
2014	18	Alfred	18	9	0	27
