year,team_id,team_name,wins,losses,ties,total_games
2009,26172,A&M-Corpus Chris,18,15,0,33
2009,2,Abilene Christian,10,16,0,26
2009,30123,Academy of Art,0,20,0,20
2009,929,Adams St.,4,23,0,27
2009,3,Adelphi,20,9,0,29
2009,4,Adrian,8,17,0,25
2009,721,Air Force,10,21,0,31
2009,5,Akron,23,13,0,36
2009,10,Ala.-Huntsville,17,11,0,28
2009,8,Alabama,18,14,0,32
2009,6,Alabama A&M,8,19,0,27
2009,7,Alabama St.,22,10,0,32
2009,11,Alas. Anchorage,15,14,0,29
2009,12,Alas. Fairbanks,6,19,0,25
2009,14,Albany (NY),15,16,0,31
2009,13,Albany St. (GA),13,15,0,28
2009,2798,Albertus Magnus,14,13,0,27
2009,15,Albion,15,11,0,26
2009,16,Albright,17,9,0,26
2009,17,Alcorn,6,25,0,31
2009,934,Alderson Broaddus,27,6,0,33
2009,18,Alfred,8,17,0,25
2009,19,Allegheny,12,15,0,27
2009,21,Alma,6,19,0,25
2009,938,Alvernia,10,15,0,25
2009,23,American,24,8,0,32
2009,22,American Int'l,15,13,0,28
2009,24,Amherst,21,7,0,28
2009,939,Anderson (IN),15,12,0,27
2009,13028,Anderson (SC),15,14,0,29
2009,25,Angelo St.,20,9,0,29
2009,26,Anna Maria,6,19,0,25
2009,27,Appalachian St.,13,18,0,31
2009,966,Arcadia,8,17,0,25
2009,29,Arizona,21,14,0,35
2009,28,Arizona St.,25,10,0,35
2009,8411,Ark.-Monticello,20,9,0,29
2009,2678,Ark.-Pine Bluff,13,18,0,31
2009,31,Arkansas,14,16,0,30
2009,30,Arkansas St.,13,17,0,30
2009,947,Arkansas Tech,23,9,0,32
2009,33,Armstrong,23,7,0,30
2009,725,Army,11,19,0,30
2009,35,Ashland,10,16,0,26
2009,36,Assumption,23,10,0,33
2009,37,Auburn,24,12,0,36
2009,38,Augsburg,15,12,0,27
2009,40,Augustana (IL),18,8,0,26
2009,41,Augustana (SD),21,10,0,31
2009,42,Aurora,16,13,0,29
2009,953,Austin,13,13,0,26
2009,43,Austin Peay,19,14,0,33
2009,44,Averett,21,9,0,30
2009,45,Babson,13,14,0,27
2009,94,Bakersfield,8,21,0,29
2009,46,Baldwin Wallace,22,28,0,50
2009,47,Ball St.,14,17,0,31
2009,958,Baptist Bible (PA),13,36,0,49
2009,962,Bard,1,24,0,25
2009,49,Barry,13,15,0,28
2009,15646,Barton,25,7,0,32
2009,58,Baruch,23,6,0,29
2009,50,Bates,13,12,0,25
2009,51,Baylor,24,15,0,39
2009,26107,Becker,22,8,0,30
2009,52,Bellarmine,26,7,0,33
2009,14927,Belmont,20,13,0,33
2009,2683,Belmont Abbey,20,9,0,29
2009,53,Beloit,4,19,0,23
2009,54,Bemidji St.,8,19,0,27
2009,55,Benedict,24,6,0,30
2009,296,Benedictine (IL),19,8,0,27
2009,56,Bentley,26,7,0,33
2009,59,Bethany (WV),27,17,0,44
2009,30038,Bethany Lutheran,13,14,0,27
2009,60,Bethel (MN),20,7,0,27
2009,61,Bethune-Cookman,17,16,0,33
2009,62,Binghamton,23,9,0,32
2009,28593,Birmingham-So.,11,14,0,25
2009,64,Blackburn,5,20,0,25
2009,984,Bloomfield,23,7,0,30
2009,65,Bloomsburg,4,23,0,27
2009,985,Bluefield St.,3,25,0,28
2009,987,Bluffton,15,11,0,26
2009,66,Boise St.,19,13,0,32
2009,67,Boston College,22,12,0,34
2009,68,Boston U.,17,13,0,30
2009,69,Bowdoin,17,9,0,26
2009,70,Bowie St.,15,13,0,28
2009,71,Bowling Green,19,14,0,33
2009,72,Bradley,21,15,0,36
2009,73,Brandeis,18,9,0,27
2009,30094,Brevard,12,15,0,27
2009,74,Bridgeport,22,9,0,31
2009,75,Bridgewater (VA),15,12,0,27
2009,76,Bridgewater St.,22,7,0,29
2009,78,Brockport,31,27,0,58
2009,79,Brooklyn,23,6,0,29
2009,80,Brown,9,19,0,28
2009,81,Bryant,8,21,0,29
2009,83,Bucknell,7,23,0,30
