team,opponent,won,lost
1,1,0,0
64,64,0,0
1,2,1005928,14402
1,3,467330,9674
1,4,517321,11603
1,5,255391,13602
1,6,56265,2305
1,7,577700,36194
1,8,41600,1594
1,9,32086,3346
1,10,18797,4083
1,11,417291,75668
1,12,1002,247
1,13,73631,8805
1,14,10098,1662
1,15,242564,40014
1,16,1436,226
1,17,251687,92491
1,18,258,117
1,19,2787,862
1,20,940,225
1,21,6473,1496
1,22,301,96
1,23,56118,13687
1,24,486,221
1,25,4259,584
1,26,998,367
1,27,30348,4445
1,28,340,109
1,29,3379,589
1,30,5394,1674
1,31,238268,77492
1,32,354,60
1,33,75756,15553
1,34,87,35
1,35,929,465
1,36,692,577
1,37,2882,672
1,38,87,102
1,39,21654,4741
1,40,58,60
1,41,538,174
1,42,166,121
1,43,8735,1458
1,44,71,64
1,45,11273,2867
1,46,311,310
1,47,78260,15259
1,48,52,36
1,49,183141,46187
1,50,48,56
1,51,330,179
1,52,256,95
1,53,1840,476
1,54,170,100
1,55,3292,755
1,56,92,50
1,57,1409,421
1,58,499,219
1,59,37378,6089
1,60,43,66
1,61,399,219
1,62,232,112
1,63,61819,12135
1,64,184,54
2,3,1829,2771
2,4,5976,3826
2,5,340,433
2,6,560,459
2,7,370,511
2,8,4495,637
2,9,87,91
2,10,135,118
2,11,126,137
2,12,233,130
2,13,72,99
2,14,81,78
2,15,116,127
2,16,3924,211
2,17,52,56
2,18,1608,2108
2,19,15,26
2,20,22,18
2,21,10,24
2,22,12,27
2,23,26,39
2,24,50,122
2,25,13,15
2,26,29,34
2,27,23,22
2,28,27,41
2,29,19,19
2,30,22,43
2,31,40,30
2,32,127,55
2,33,12,9
2,34,372,288
2,35,0,2
2,36,6,5
2,37,1,3
2,38,6,6
2,39,11,6
2,40,6,9
2,41,3,6
2,42,7,14
2,43,4,3
2,44,8,13
2,45,5,7
2,46,2,7
2,47,5,5
2,48,15,12
2,49,27,22
2,50,691,255
2,51,4,4
2,52,11,23
2,53,4,5
2,54,8,11
2,55,4,4
2,56,4,4
2,57,2,3
2,58,5,15
2,59,11,10
2,60,7,23
2,61,2,3
2,62,7,7
2,63,13,13
2,64,17,18
3,4,481604,538726
3,5,1535,2227
3,6,1084,912
3,7,1744,3356
3,8,919,668
3,9,234,347
3,10,245,264
3,11,416,965
3,12,108,79
3,13,267,384
3,14,249,201
3,15,409,918
3,16,117,79
3,17,141,236
3,18,24,13
3,19,62,86
3,20,38,32
3,21,50,49
3,22,23,21
3,23,80,140
3,24,30,26
3,25,58,71
3,26,33,20
3,27,65,93
3,28,22,18
3,29,42,36
3,30,80,111
