BEGIN
CREATE TABLE
INSERT 0 3982
        coach        |  g  | w  | l  |  ew  | diff 
 Richard Williams    |   9 |  6 |  3 |  4.3 |  1.7
 Todd Lickliter      |   6 |  4 |  2 |  2.4 |  1.6
 Andy Enfield        |   3 |  2 |  1 |  0.4 |  1.6
 Tommy Amaker        |   9 |  4 |  5 |  2.4 |  1.6
 Wimp Sanderson      |  18 | 11 |  7 |  9.4 |  1.6
 Jim Harrick         |  30 | 17 | 13 | 15.5 |  1.5
 Gary Williams       |  43 | 28 | 15 | 26.5 |  1.5
 Jim O'Brien         |  20 | 12 |  8 | 10.5 |  1.5
 Quin Snyder         |   9 |  5 |  4 |  3.6 |  1.4
 John Giannini       |   4 |  3 |  1 |  1.6 |  1.4
 Jim Larranaga       |  13 |  7 |  6 |  5.6 |  1.4
 Buzz Williams       |  13 |  8 |  5 |  6.6 |  1.4
 Lou Campanelli      |   5 |  3 |  2 |  1.6 |  1.4
 Bill Frieder        |  20 | 14 |  6 | 12.7 |  1.3
 Dick Tarrant        |   7 |  3 |  4 |  1.7 |  1.3
 Bill Guthridge      |  11 |  8 |  3 |  6.8 |  1.2
 Ken McDonald        |   4 |  2 |  2 |  0.9 |  1.1
 Ben Braun           |  15 |  7 |  8 |  5.9 |  1.1
 Tim Floyd           |  15 |  7 |  8 |  5.9 |  1.1
 Lou Carnesecca      |  17 | 10 |  7 |  8.9 |  1.1
 Mike McConathy      |   5 |  2 |  3 |  0.9 |  1.1
 Ben Howland         |  29 | 19 | 10 | 17.9 |  1.1
 Jim Brandenburg     |   3 |  2 |  1 |  0.9 |  1.1
 Mark Gottfried      |  21 | 10 | 11 |  9.0 |  1.0
 Donnie Tyndall      |   4 |  2 |  2 |  1.0 |  1.0
 Pat Flannery        |   4 |  2 |  2 |  1.0 |  1.0
 Jim Rosborough      |   6 |  5 |  1 |  4.0 |  1.0
 Bruce Pearl         |  18 | 10 |  8 |  9.0 |  1.0
 Jim Les             |   3 |  2 |  1 |  1.0 |  1.0
 Clem Haskins        |  18 | 11 |  7 | 10.0 |  1.0
 Larry Finch         |  12 |  6 |  6 |  5.0 |  1.0
 Ron Abegglen        |   4 |  2 |  2 |  1.0 |  1.0
 Steve Donahue       |   5 |  2 |  3 |  1.1 |  0.9
 Dick Davey          |   5 |  2 |  3 |  1.1 |  0.9
 Anthony Evans       |   2 |  1 |  1 |  0.1 |  0.9
 Mack McCarthy       |   7 |  2 |  5 |  1.2 |  0.8
 Frank Martin        |  10 |  6 |  4 |  5.2 |  0.8
 Darrin Horn         |   3 |  2 |  1 |  1.2 |  0.8
 Russ Pennell        |   3 |  2 |  1 |  1.2 |  0.8
 Joe B. Hall         |   3 |  2 |  1 |  1.2 |  0.8
 Eddie Biedenbach    |   5 |  2 |  3 |  1.2 |  0.8
 Stan Heath          |   9 |  5 |  4 |  4.2 |  0.8
 Jeff Capel          |  11 |  5 |  6 |  4.2 |  0.8
 Cliff Ellis         |  16 |  8 |  8 |  7.3 |  0.7
 Mike Anderson       |  15 |  8 |  7 |  7.3 |  0.7
 Johnny Dawkins      |   3 |  2 |  1 |  1.3 |  0.7
 Scott Drew          |  13 |  8 |  5 |  7.3 |  0.7
 Chris Mack          |  11 |  6 |  5 |  5.3 |  0.7
 Don Haskins         |  12 |  5 |  7 |  4.3 |  0.7
 Jim Valvano         |  13 |  8 |  5 |  7.3 |  0.7
 Cuonzo Martin       |   4 |  3 |  1 |  2.3 |  0.7
 John Brady          |  10 |  6 |  4 |  5.3 |  0.7
 Gene Sullivan       |   3 |  2 |  1 |  1.3 |  0.7
 Mark Turgeon        |  12 |  6 |  6 |  5.3 |  0.7
 Edward Joyner       |   3 |  1 |  2 |  0.3 |  0.7
 Tom Davis           |  22 | 13 |  9 | 12.3 |  0.7
 Thad Matta          |  37 | 24 | 13 | 23.4 |  0.6
 Bob Hoffman         |   2 |  1 |  1 |  0.4 |  0.6
 David Hobbs         |   4 |  2 |  2 |  1.4 |  0.6
 Dick Hunsaker       |   4 |  2 |  2 |  1.4 |  0.6
 Bob Donewald        |   4 |  2 |  2 |  1.4 |  0.6
 Craig Esherick      |   3 |  2 |  1 |  1.4 |  0.6
 John Phillips       |   4 |  2 |  2 |  1.4 |  0.6
 Mike Davis          |  14 |  7 |  7 |  6.4 |  0.6
 Jerod Haase         |   2 |  1 |  1 |  0.4 |  0.6
 Melvin Watkins      |   4 |  2 |  2 |  1.4 |  0.6
 Eldon Miller        |   4 |  2 |  2 |  1.4 |  0.6
 Bob Bender          |   5 |  2 |  3 |  1.4 |  0.6
 Lake Kelly          |   2 |  1 |  1 |  0.4 |  0.6
 Andrew Toole        |   2 |  1 |  1 |  0.4 |  0.6
 Perry Clark         |   7 |  3 |  4 |  2.5 |  0.5
 Trent Johnson       |  10 |  5 |  5 |  4.5 |  0.5
 Bill Grier          |   2 |  1 |  1 |  0.5 |  0.5
 Homer Drew          |   9 |  2 |  7 |  1.5 |  0.5
 John Becker         |   2 |  1 |  1 |  0.5 |  0.5
 Ben Jacobson        |   6 |  3 |  3 |  2.5 |  0.5
 Henry Bibby         |   6 |  3 |  3 |  2.5 |  0.5
 Matt Brady          |   2 |  1 |  1 |  0.5 |  0.5
 Kevin Mackey        |   3 |  2 |  1 |  1.5 |  0.5
 Steve Merfeld       |   3 |  1 |  2 |  0.5 |  0.5
 George Ivory        |   2 |  1 |  1 |  0.5 |  0.5
 Steve McClain       |   2 |  1 |  1 |  0.5 |  0.5
 Jay Smith           |   2 |  1 |  1 |  0.5 |  0.5
 Dan Monson          |   6 |  3 |  3 |  2.5 |  0.5
 Ray Giacoletti      |   4 |  2 |  2 |  1.5 |  0.5
 Bill C. Foster      |   2 |  1 |  1 |  0.6 |  0.4
 Ron Hunter          |   3 |  1 |  2 |  0.6 |  0.4
 Eddie Sutton        |  45 | 28 | 17 | 27.6 |  0.4
 Larry Krystkowiak   |   6 |  3 |  3 |  2.6 |  0.4
 Wayne Morgan        |   2 |  1 |  1 |  0.6 |  0.4
 Perry Watson        |   4 |  2 |  2 |  1.6 |  0.4
 Mike Newell         |   4 |  1 |  3 |  0.6 |  0.4
 Pat Kennedy         |  13 |  6 |  7 |  5.6 |  0.4
 Tom Young           |   2 |  1 |  1 |  0.7 |  0.3
 Bruce Parkhill      |   2 |  1 |  1 |  0.7 |  0.3
 Mike Gillespie      |   3 |  1 |  2 |  0.7 |  0.3
 Ray Harper          |   3 |  1 |  2 |  0.7 |  0.3
 Joe Callero         |   2 |  1 |  1 |  0.7 |  0.3
 Matt Kilcullen      |   2 |  1 |  1 |  0.7 |  0.3
 Andy Russo          |   4 |  2 |  2 |  1.7 |  0.3
 Fang Mitchell       |   5 |  1 |  4 |  0.7 |  0.3
 Rob Jeter           |   3 |  1 |  2 |  0.7 |  0.3
 Royce Waltman       |   3 |  1 |  2 |  0.7 |  0.3
 Brad Underwood      |   3 |  1 |  2 |  0.7 |  0.3
 Brett Reed          |   3 |  1 |  2 |  0.7 |  0.3
 Gary Waters         |   5 |  2 |  3 |  1.7 |  0.3
 Terry Holland       |   8 |  4 |  4 |  3.8 |  0.2
 Dick Versace        |   2 |  1 |  1 |  0.8 |  0.2
 Gregg Marshall      |  19 |  8 | 11 |  7.8 |  0.2
 John Pelphrey       |   3 |  1 |  2 |  0.8 |  0.2
 Cy Alexander        |   7 |  1 |  6 |  0.8 |  0.2
 Tom Brennan         |   4 |  1 |  3 |  0.8 |  0.2
 Joe Mihalich        |   3 |  1 |  2 |  0.8 |  0.2
 Chris Lowery        |   6 |  3 |  3 |  2.8 |  0.2
 Brian Gregory       |   3 |  1 |  2 |  0.8 |  0.2
 Jerry Dunn          |   4 |  2 |  2 |  1.8 |  0.2
 Jerry Wainwright    |   4 |  1 |  3 |  0.8 |  0.2
 Andy Kennedy        |   4 |  2 |  2 |  1.8 |  0.2
 James Dickey        |   4 |  2 |  2 |  1.8 |  0.2
 Lefty Driesell      |   8 |  4 |  4 |  3.8 |  0.2
 Rob Lanier          |   2 |  1 |  1 |  0.8 |  0.2
 Paul Evans          |  14 |  7 |  7 |  6.8 |  0.2
 Chris Mooney        |   4 |  2 |  2 |  1.8 |  0.2
 Brooks Thompson     |   2 |  1 |  1 |  0.8 |  0.2
 Brandon Miller      |   2 |  1 |  1 |  0.9 |  0.1
 Dave Leitao         |   4 |  2 |  2 |  1.9 |  0.1
 Tommy Joe Eagles    |   3 |  1 |  2 |  0.9 |  0.1
 Ricardo Patton      |   3 |  1 |  2 |  0.9 |  0.1
 Dave Calloway       |   4 |  1 |  3 |  0.9 |  0.1
 Stu Jackson         |   2 |  1 |  1 |  0.9 |  0.1
 Bobby Cremins       |  25 | 15 | 10 | 14.9 |  0.1
 Billy Kennedy       |   3 |  1 |  2 |  0.9 |  0.1
 Jim Boyle           |   2 |  1 |  1 |  0.9 |  0.1
 Marty Fletcher      |   3 |  1 |  2 |  0.9 |  0.1
 Bob Wade            |   2 |  1 |  1 |  0.9 |  0.1
 Jeff Jones          |  13 |  6 |  7 |  5.9 |  0.1
 Saul Phillips       |   3 |  1 |  2 |  0.9 |  0.1
 Ben Jobe            |   5 |  1 |  4 |  0.9 |  0.1
 Steve Newton        |   4 |  1 |  3 |  0.9 |  0.1
 Bobby Gonzalez      |   3 |  1 |  2 |  0.9 |  0.1
 Chris Holtmann      |   2 |  1 |  1 |  0.9 |  0.1
 C.M. Newton         |   4 |  2 |  2 |  1.9 |  0.1
 Steve Alford        |  18 |  9 |  9 |  8.9 |  0.1
 Mick Cronin         |  11 |  4 |  7 |  3.9 |  0.1
 Milan Brown         |   2 |  1 |  1 |  0.9 |  0.1
 Dana Kirk           |   7 |  5 |  2 |  4.9 |  0.1
 Steve Prohm         |   2 |  1 |  1 |  1.0 |  0.0
 Tiny Grant          |   3 |  1 |  2 |  1.0 |  0.0
 Brad Greenberg      |   1 |  0 |  1 |  0.0 |  0.0
 Mike Cingiser       |   1 |  0 |  1 |  0.0 |  0.0
 Jim Phelan          |   2 |  0 |  2 |  0.0 |  0.0
 Elwood Plummer      |   1 |  0 |  1 |  0.0 |  0.0
 Roy Thomas          |   1 |  0 |  1 |  0.0 |  0.0
 Patrick Chambers    |   1 |  0 |  1 |  0.0 |  0.0
 Mickey Clayton      |   1 |  0 |  1 |  0.0 |  0.0
 Mike Miller         |   1 |  0 |  1 |  0.0 |  0.0
 Mike Dement         |   1 |  0 |  1 |  0.0 |  0.0
 Ron Bradley         |   1 |  0 |  1 |  0.0 |  0.0
 Randy Dunton        |   1 |  0 |  1 |  0.0 |  0.0
 Bob McKillop        |  11 |  3 |  8 |  3.0 |  0.0
 Mike Jarvis         |  16 |  7 |  9 |  7.0 |  0.0
 Tony Barone         |   3 |  1 |  2 |  1.0 |  0.0
 Bob Reinhart        |   1 |  0 |  1 |  0.0 |  0.0
 Greg Jackson        |   1 |  0 |  1 |  0.0 |  0.0
 Scott Cross         |   1 |  0 |  1 |  0.0 |  0.0
 Butch Beard         |   1 |  0 |  1 |  0.0 |  0.0
 Bruce Stewart       |   4 |  1 |  3 |  1.0 |  0.0
 Andy Stoglin        |   2 |  0 |  2 |  0.0 |  0.0
 Paul Cormier        |   1 |  0 |  1 |  0.0 |  0.0
 Jimmy Patsos        |   1 |  0 |  1 |  0.0 |  0.0
 Charlie Coles       |   6 |  2 |  4 |  2.0 |  0.0
 Lorenzo Romar       |  15 |  8 |  7 |  8.0 |  0.0
 Jan Van Breda Kolff |   3 |  1 |  2 |  1.0 |  0.0
 Matt Furjanic       |   1 |  0 |  1 |  0.0 |  0.0
 James Green         |   1 |  0 |  1 |  0.0 |  0.0
 Eddie Payne         |   1 |  0 |  1 |  0.0 |  0.0
 Alan LeForce        |   3 |  1 |  2 |  1.0 |  0.0
 Billy Lee           |   1 |  0 |  1 |  0.0 |  0.0
 Eddie Burke         |   1 |  0 |  1 |  0.0 |  0.0
 Jeff Meyer          |   1 |  0 |  1 |  0.0 |  0.0
 Mark Few            |  35 | 19 | 16 | 19.1 | -0.1
 Tim O'Shea          |   1 |  0 |  1 |  0.1 | -0.1
 Steve Welch         |   1 |  0 |  1 |  0.1 | -0.1
 B.J. Hill           |   1 |  0 |  1 |  0.1 | -0.1
 Bob Burton          |   1 |  0 |  1 |  0.1 | -0.1
 Greg Graham         |   1 |  0 |  1 |  0.1 | -0.1
 Terry Truax         |   2 |  0 |  2 |  0.1 | -0.1
 Mike Brennan        |   1 |  0 |  1 |  0.1 | -0.1
 Jimmy Gales         |   1 |  0 |  1 |  0.1 | -0.1
 Rob Spivery         |   3 |  0 |  3 |  0.1 | -0.1
 Bill Coen           |   1 |  0 |  1 |  0.1 | -0.1
 Phil Hopkins        |   1 |  0 |  1 |  0.1 | -0.1
 John Dunne          |   1 |  0 |  1 |  0.1 | -0.1
 Tim Carter          |   2 |  0 |  2 |  0.1 | -0.1
 John Shulman        |   2 |  0 |  2 |  0.1 | -0.1
 Ernie Nestor        |   1 |  0 |  1 |  0.1 | -0.1
 Roman Banks         |   1 |  0 |  1 |  0.1 | -0.1
 Bobby Hussey        |   1 |  0 |  1 |  0.1 | -0.1
 Sidney Green        |   1 |  0 |  1 |  0.1 | -0.1
 Robert Lee          |   1 |  0 |  1 |  0.1 | -0.1
 Tom Schneider       |   2 |  0 |  2 |  0.1 | -0.1
 Louis Orr           |   3 |  1 |  2 |  1.1 | -0.1
 Monte Ross          |   1 |  0 |  1 |  0.1 | -0.1
 Craig Littlepage    |   1 |  0 |  1 |  0.1 | -0.1
 Dave Magarity       |   1 |  0 |  1 |  0.1 | -0.1
 Glen Miller         |   1 |  0 |  1 |  0.1 | -0.1
 Randy Monroe        |   1 |  0 |  1 |  0.1 | -0.1
 Kevin Broadus       |   1 |  0 |  1 |  0.1 | -0.1
 Greg Kampe          |   4 |  1 |  3 |  1.1 | -0.1
 Randy Rahe          |   2 |  0 |  2 |  0.1 | -0.1
 Al Brown            |   1 |  0 |  1 |  0.1 | -0.1
 Will Brown          |   6 |  1 |  5 |  1.1 | -0.1
 Kevin Bannon        |   2 |  0 |  2 |  0.1 | -0.1
 Stu Starner         |   1 |  0 |  1 |  0.1 | -0.1
 Gale Catlett        |   8 |  3 |  5 |  3.1 | -0.1
 Brian Mahoney       |   2 |  1 |  1 |  1.1 | -0.1
 Robert Hopkins      |   1 |  0 |  1 |  0.1 | -0.1
 Russ Turner         |   1 |  0 |  1 |  0.1 | -0.1
 Dickey Nutt         |   1 |  0 |  1 |  0.1 | -0.1
 Murray Arnold       |   2 |  1 |  1 |  1.1 | -0.1
 Mitch Buonaguro     |   2 |  0 |  2 |  0.1 | -0.1
 Tom Conrad          |   1 |  0 |  1 |  0.1 | -0.1
 Jack Bruen          |   2 |  0 |  2 |  0.1 | -0.1
 Greg Lansing        |   1 |  0 |  1 |  0.1 | -0.1
 Jeff Neubauer       |   2 |  0 |  2 |  0.1 | -0.1
 Don Holst           |   1 |  0 |  1 |  0.1 | -0.1
 David Richman       |   1 |  0 |  1 |  0.1 | -0.1
 Jim Boutin          |   1 |  0 |  1 |  0.1 | -0.1
 Rick Samuels        |   2 |  0 |  2 |  0.1 | -0.1
 Rod Barnes          |   6 |  3 |  3 |  3.1 | -0.1
 Carroll Williams    |   1 |  0 |  1 |  0.1 | -0.1
 Sydney Johnson      |   1 |  0 |  1 |  0.1 | -0.1
 Bill Bibb           |   1 |  0 |  1 |  0.1 | -0.1
 Lynn Archibald      |   1 |  0 |  1 |  0.1 | -0.1
 Dereck Whittenburg  |   1 |  0 |  1 |  0.1 | -0.1
 Ralph Underhill     |   1 |  0 |  1 |  0.1 | -0.1
 Neil McCarthy       |   8 |  3 |  5 |  3.1 | -0.1
 Bill Evans          |   1 |  0 |  1 |  0.1 | -0.1
 Jim Wooldridge      |   1 |  0 |  1 |  0.1 | -0.1
 Rob Chavez          |   1 |  0 |  1 |  0.1 | -0.1
 Lafayette Stribling |   3 |  0 |  3 |  0.1 | -0.1
 Ken Bone            |   2 |  0 |  2 |  0.2 | -0.2
 Les Robinson        |   4 |  1 |  3 |  1.2 | -0.2
 LeVelle Moton       |   1 |  0 |  1 |  0.2 | -0.2
 Larry Reynolds      |   1 |  0 |  1 |  0.2 | -0.2
 Russ Bergman        |   2 |  0 |  2 |  0.2 | -0.2
 Frankie Allen       |   2 |  0 |  2 |  0.2 | -0.2
 Fran McCaffery      |  10 |  3 |  7 |  3.2 | -0.2
 Bill Musselman      |   1 |  0 |  1 |  0.2 | -0.2
 Wayne Szoke         |   1 |  0 |  1 |  0.2 | -0.2
 Buzz Peterson       |   1 |  0 |  1 |  0.2 | -0.2
 Mike Adras          |   1 |  0 |  1 |  0.2 | -0.2
 Shelby Metcalf      |   1 |  0 |  1 |  0.2 | -0.2
 Fran O'Hanlon       |   3 |  0 |  3 |  0.2 | -0.2
 Don Maestri         |   1 |  0 |  1 |  0.2 | -0.2
 Walt Hazzard        |   2 |  1 |  1 |  1.2 | -0.2
 Rickey Broussard    |   2 |  0 |  2 |  0.2 | -0.2
 Larry Shyatt        |   1 |  0 |  1 |  0.2 | -0.2
 Brian Hammel        |   1 |  0 |  1 |  0.2 | -0.2
 Gary Garner         |   1 |  0 |  1 |  0.2 | -0.2
 Bob Thomason        |   7 |  2 |  5 |  2.2 | -0.2
 Bo Ryan             |  37 | 24 | 13 | 24.2 | -0.2
 Reggie Theus        |   1 |  0 |  1 |  0.2 | -0.2
 Jarrett Durham      |   3 |  0 |  3 |  0.2 | -0.2
 Karl Fogel          |   2 |  0 |  2 |  0.2 | -0.2
 Todd Bozeman        |   7 |  2 |  5 |  2.2 | -0.2
 Charles Woollum     |   2 |  0 |  2 |  0.2 | -0.2
 Scott Edgar         |   2 |  0 |  2 |  0.2 | -0.2
 Mike Rice           |   2 |  0 |  2 |  0.2 | -0.2
 Joey Meyer          |  13 |  6 |  7 |  6.2 | -0.2
 Danny Manning       |   1 |  0 |  1 |  0.2 | -0.2
 Jim Ferry           |   2 |  0 |  2 |  0.2 | -0.2
 Jim Hayford         |   1 |  0 |  1 |  0.2 | -0.2
 George Felton       |   1 |  0 |  1 |  0.2 | -0.2
 George Blaney       |   1 |  0 |  1 |  0.2 | -0.2
 Joe Cravens         |   1 |  0 |  1 |  0.2 | -0.2
 Frank Kerns         |   2 |  0 |  2 |  0.2 | -0.2
 Sonny Allen         |   1 |  0 |  1 |  0.2 | -0.2
 Danny Kaspar        |   1 |  0 |  1 |  0.2 | -0.2
 Ken Burmeister      |   1 |  0 |  1 |  0.2 | -0.2
 Ray Haskins         |   1 |  0 |  1 |  0.2 | -0.2
 Milton Barnes       |   1 |  0 |  1 |  0.2 | -0.2
 Nick Macarchuk      |   1 |  0 |  1 |  0.2 | -0.2
 Dan Fitzgerald      |   1 |  0 |  1 |  0.2 | -0.2
 Dave Loos           |   3 |  0 |  3 |  0.3 | -0.3
 Derek Kellogg       |   1 |  0 |  1 |  0.3 | -0.3
 Vann Pettaway       |   1 |  0 |  1 |  0.3 | -0.3
 Brad Holland        |   1 |  0 |  1 |  0.3 | -0.3
 Jessie Evans        |   2 |  0 |  2 |  0.3 | -0.3
 Tad Boyle           |   4 |  1 |  3 |  1.3 | -0.3
 Josh Pastner        |   6 |  2 |  4 |  2.3 | -0.3
 Joby Wright         |   1 |  0 |  1 |  0.3 | -0.3
 Philip Mathews      |   1 |  0 |  1 |  0.3 | -0.3
 Bill Herrion        |   4 |  1 |  3 |  1.3 | -0.3
 Bobby Collins       |   1 |  0 |  1 |  0.3 | -0.3
 John Kresse         |   5 |  1 |  4 |  1.3 | -0.3
 Mark Fox            |   7 |  2 |  5 |  2.3 | -0.3
 Dino Gaudio         |   3 |  1 |  2 |  1.3 | -0.3
 Fred Hoiberg        |   8 |  4 |  4 |  4.3 | -0.3
 Bobby Hurley        |   1 |  0 |  1 |  0.3 | -0.3
 Jimmy Tillette      |   2 |  0 |  2 |  0.3 | -0.3
 Mick Durham         |   1 |  0 |  1 |  0.3 | -0.3
 Howie Dickenman     |   3 |  0 |  3 |  0.3 | -0.3
 Jim Killingsworth   |   2 |  1 |  1 |  1.3 | -0.3
 Gene Smithson       |   1 |  0 |  1 |  0.3 | -0.3
 Ritchie McKay       |   1 |  0 |  1 |  0.3 | -0.3
 Mark Schmidt        |   1 |  0 |  1 |  0.3 | -0.3
 Steve Shields       |   1 |  0 |  1 |  0.3 | -0.3
 Jeff Bzdelik        |   1 |  0 |  1 |  0.3 | -0.3
 Bobby Braswell      |   2 |  0 |  2 |  0.3 | -0.3
 Joe Scott           |   1 |  0 |  1 |  0.3 | -0.3
 Anthony Grant       |   4 |  1 |  3 |  1.3 | -0.3
 Doc Sadler          |   1 |  0 |  1 |  0.3 | -0.3
 Jim Baron           |   2 |  0 |  2 |  0.3 | -0.3
 Phil Martelli       |  12 |  6 |  6 |  6.3 | -0.3
 Dennis Wolff        |   2 |  0 |  2 |  0.3 | -0.3
 Karl Hobbs          |   4 |  1 |  3 |  1.3 | -0.3
 Steve Steinwedel    |   2 |  0 |  2 |  0.3 | -0.3
 Kirk Speraw         |   4 |  0 |  4 |  0.3 | -0.3
 Tom Green           |   4 |  0 |  4 |  0.3 | -0.3
 Rick Huckabay       |   2 |  0 |  2 |  0.4 | -0.4
 Norm Sloan          |   6 |  3 |  3 |  3.4 | -0.4
 Robert Moreland     |   3 |  0 |  3 |  0.4 | -0.4
 Paul Webb           |   1 |  0 |  1 |  0.4 | -0.4
 Don Corbett         |   4 |  0 |  4 |  0.4 | -0.4
 Scott Nagy          |   2 |  0 |  2 |  0.4 | -0.4
 Randy Ayers         |   9 |  6 |  3 |  6.4 | -0.4
 Bob Marlin          |   3 |  0 |  3 |  0.4 | -0.4
 Jamion Christian    |   1 |  0 |  1 |  0.4 | -0.4
 Smokey Gaines       |   1 |  0 |  1 |  0.4 | -0.4
 John Shumate        |   1 |  0 |  1 |  0.4 | -0.4
 Tevester Anderson   |   3 |  0 |  3 |  0.4 | -0.4
 Stan Albeck         |   1 |  0 |  1 |  0.4 | -0.4
 Larry Eustachy      |   9 |  4 |  5 |  4.4 | -0.4
 Bill Self           |  53 | 37 | 16 | 37.4 | -0.4
 Bobby Paschal       |   2 |  0 |  2 |  0.4 | -0.4
 Ted Fiore           |   2 |  0 |  2 |  0.4 | -0.4
 Bill Bayno          |   2 |  0 |  2 |  0.4 | -0.4
 Sean Woods          |   1 |  0 |  1 |  0.4 | -0.4
 Roy Chipman         |   1 |  0 |  1 |  0.4 | -0.4
 Don Donoher         |   1 |  0 |  1 |  0.4 | -0.4
 Tic Price           |   2 |  0 |  2 |  0.4 | -0.4
 Jerry Pimm          |   3 |  1 |  2 |  1.4 | -0.4
 Paul Westphal       |   1 |  0 |  1 |  0.4 | -0.4
 Hank Egan           |   1 |  0 |  1 |  0.4 | -0.4
 Davey Whitney       |   2 |  0 |  2 |  0.4 | -0.4
 Lon Kruger          |  32 | 16 | 16 | 16.5 | -0.5
 Rod Tueller         |   1 |  0 |  1 |  0.5 | -0.5
 Jim Anderson        |   1 |  0 |  1 |  0.5 | -0.5
 Gene Iba            |   1 |  0 |  1 |  0.5 | -0.5
 Larry Hunter        |   1 |  0 |  1 |  0.5 | -0.5
 Matt Painter        |  16 |  8 |  8 |  8.5 | -0.5
 Pete Herrmann       |   1 |  0 |  1 |  0.5 | -0.5
 Kevin Stallings     |  14 |  6 |  8 |  6.5 | -0.5
 Tony Barbee         |   1 |  0 |  1 |  0.5 | -0.5
 Herb Sendek         |  15 |  7 |  8 |  7.5 | -0.5
 Mike Heideman       |   1 |  0 |  1 |  0.5 | -0.5
 Benny Dees          |   3 |  1 |  2 |  1.5 | -0.5
 Jack Perri          |   1 |  0 |  1 |  0.5 | -0.5
 Craig Neal          |   1 |  0 |  1 |  0.5 | -0.5
 Johnny Jones        |   3 |  0 |  3 |  0.5 | -0.5
 Stan Morrison       |   2 |  0 |  2 |  0.5 | -0.5
 Jay Wright          |  26 | 14 | 12 | 14.5 | -0.5
 Jerry Loyd          |   1 |  0 |  1 |  0.5 | -0.5
 Bobby Dye           |   3 |  0 |  3 |  0.5 | -0.5
 Wayne Tinkle        |   3 |  0 |  3 |  0.5 | -0.5
 Moe Iba             |   1 |  0 |  1 |  0.5 | -0.5
 Paul Hewitt         |  13 |  7 |  6 |  7.5 | -0.5
 Bruce Weber         |  21 | 11 | 10 | 11.5 | -0.5
 Dale Layer          |   2 |  0 |  2 |  0.5 | -0.5
 Bob Williams        |   3 |  0 |  3 |  0.5 | -0.5
 Mike Lonergan       |   2 |  0 |  2 |  0.5 | -0.5
 Bob Weltlich        |   2 |  0 |  2 |  0.5 | -0.5
 Bryce Drew          |   2 |  0 |  2 |  0.5 | -0.5
 Lute Olson          |  61 | 39 | 22 | 39.6 | -0.6
 Gerald Myers        |   2 |  0 |  2 |  0.6 | -0.6
 Ed DeChellis        |   2 |  0 |  2 |  0.6 | -0.6
 Matthew Driscoll    |   1 |  0 |  1 |  0.6 | -0.6
 Keith Dambrot       |   3 |  0 |  3 |  0.6 | -0.6
 Fran Fraschilla     |   4 |  1 |  3 |  1.6 | -0.6
 Bill Carmody        |   3 |  1 |  2 |  1.6 | -0.6
 Dana Altman         |  17 |  6 | 11 |  6.6 | -0.6
 Tim Cluess          |   2 |  0 |  2 |  0.6 | -0.6
 Jerry Peirson       |   2 |  0 |  2 |  0.6 | -0.6
 Jim Boylen          |   1 |  0 |  1 |  0.6 | -0.6
 Mike Young          |   4 |  0 |  4 |  0.6 | -0.6
 Jeff Ruland         |   3 |  0 |  3 |  0.6 | -0.6
