coach,g,w,l,ew,diff
Jim Boeheim,77,52,25,43.0,9.0
Tom Izzo,66,47,19,38.4,8.6
Jim Calhoun,65,48,17,41.2,6.8
Roy Williams,98,74,24,68.1,5.9
Rollie Massimino,15,11,4,5.1,5.9
John Calipari,68,51,17,45.9,5.1
John Beilein,30,19,11,14.1,4.9
Denny Crum,32,21,11,16.1,4.9
Brad Stevens,17,12,5,7.3,4.7
Larry Brown,17,13,4,9.4,3.6
Kevin Ollie,8,7,1,3.6,3.4
Frank Martin,14,10,4,6.7,3.3
Rick Majerus,32,19,13,15.8,3.2
Nolan Richardson,39,26,13,22.9,3.1
Billy Donovan,47,35,12,31.9,3.1
P.J. Carlesimo,18,12,6,8.9,3.1
Thomas Penders,23,12,11,9.1,2.9
Jerry Tarkanian,30,22,8,19.1,2.9
Rick Pitino,72,54,18,51.2,2.8
Steve Lavin,19,11,8,8.2,2.8
John Chaney,38,22,16,19.6,2.4
Andy Enfield,7,4,3,1.8,2.2
Shaka Smart,13,7,6,4.8,2.2
Steve Fisher,40,26,14,23.8,2.2
Mike Krzyzewski,118,91,27,88.9,2.1
Dean Smith,49,37,12,34.9,2.1
Pete Gillen,17,8,9,5.9,2.1
Archie Miller,9,5,4,2.9,2.1
Dale Brown,18,9,9,7.0,2.0
Mike Hopkins,5,4,1,2.1,1.9
Sonny Smith,12,7,5,5.1,1.9
Chris Mack,17,10,7,8.2,1.8
Paul Westhead,7,4,3,2.2,1.8
John Groce,7,4,3,2.2,1.8
Richard Williams,9,6,3,4.3,1.7
Jim Les,5,3,2,1.4,1.6
Wimp Sanderson,18,11,7,9.4,1.6
Tommy Amaker,9,4,5,2.4,1.6
Todd Lickliter,6,4,2,2.4,1.6
Jim O'Brien,20,12,8,10.5,1.5
Gary Williams,43,28,15,26.5,1.5
Tubby Smith,47,30,17,28.5,1.5
Jim Harrick,30,17,13,15.5,1.5
Sean Miller,29,19,10,17.6,1.4
John Giannini,4,3,1,1.6,1.4
Lou Campanelli,5,3,2,1.6,1.4
Quin Snyder,9,5,4,3.6,1.4
Dick Tarrant,7,3,4,1.7,1.3
Bill Frieder,20,14,6,12.7,1.3
Dana Altman,25,13,12,11.7,1.3
Greg Gard,6,4,2,2.8,1.2
Jay Wright,34,21,13,19.8,1.2
Bill Guthridge,11,8,3,6.8,1.2
Buzz Williams,14,8,6,6.8,1.2
Ben Braun,15,7,8,5.9,1.1
Lou Carnesecca,17,10,7,8.9,1.1
Ken McDonald,4,2,2,0.9,1.1
Ben Howland,29,19,10,17.9,1.1
Mike McConathy,5,2,3,0.9,1.1
Tim Floyd,15,7,8,5.9,1.1
Jim Brandenburg,3,2,1,0.9,1.1
Jim Larranaga,17,9,8,8.0,1.0
Donnie Tyndall,4,2,2,1.0,1.0
Clem Haskins,18,11,7,10.0,1.0
Bruce Pearl,18,10,8,9.0,1.0
Mark Gottfried,21,10,11,9.0,1.0
Ben Jacobson,8,4,4,3.0,1.0
Larry Finch,12,6,6,5.0,1.0
Jim Rosborough,6,5,1,4.0,1.0
Pat Flannery,4,2,2,1.0,1.0
Mike Anderson,17,9,8,8.0,1.0
Ron Abegglen,4,2,2,1.0,1.0
Steve Donahue,5,2,3,1.1,0.9
Mark Few,42,25,17,24.1,0.9
Anthony Evans,2,1,1,0.1,0.9
Dick Davey,5,2,3,1.1,0.9
Jeff Capel,11,5,6,4.2,0.8
Mack McCarthy,7,2,5,1.2,0.8
Joe B. Hall,3,2,1,1.2,0.8
Darrin Horn,3,2,1,1.2,0.8
Eddie Biedenbach,5,2,3,1.2,0.8
Stan Heath,9,5,4,4.2,0.8
Russ Pennell,3,2,1,1.2,0.8
John Brady,10,6,4,5.3,0.7
Don Haskins,12,5,7,4.3,0.7
Gene Sullivan,3,2,1,1.3,0.7
Johnny Dawkins,3,2,1,1.3,0.7
Tom Davis,22,13,9,12.3,0.7
Edward Joyner,4,1,3,0.3,0.7
Cliff Ellis,16,8,8,7.3,0.7
Jim Valvano,13,8,5,7.3,0.7
Craig Esherick,3,2,1,1.4,0.6
Eldon Miller,4,2,2,1.4,0.6
Lake Kelly,2,1,1,0.4,0.6
Bob Donewald,4,2,2,1.4,0.6
Jerod Haase,2,1,1,0.4,0.6
Thad Matta,37,24,13,23.4,0.6
Melvin Watkins,4,2,2,1.4,0.6
Dick Hunsaker,4,2,2,1.4,0.6
Andrew Toole,2,1,1,0.4,0.6
Bob Hoffman,2,1,1,0.4,0.6
David Hobbs,4,2,2,1.4,0.6
John Phillips,4,2,2,1.4,0.6
Bob Bender,5,2,3,1.4,0.6
Gregg Marshall,24,11,13,10.5,0.5
Steve Merfeld,3,1,2,0.5,0.5
Dan Monson,6,3,3,2.5,0.5
Jay Smith,2,1,1,0.5,0.5
Steve McClain,2,1,1,0.5,0.5
Kevin Mackey,3,2,1,1.5,0.5
Mike Davis,15,7,8,6.5,0.5
Bo Ryan,42,27,15,26.5,0.5
Trent Johnson,10,5,5,4.5,0.5
Ray Giacoletti,4,2,2,1.5,0.5
Mark Turgeon,16,8,8,7.5,0.5
Bill Grier,2,1,1,0.5,0.5
Henry Bibby,6,3,3,2.5,0.5
Homer Drew,9,2,7,1.5,0.5
Chris Holtmann,7,4,3,3.5,0.5
George Ivory,2,1,1,0.5,0.5
Matt Brady,2,1,1,0.5,0.5
Chris Collins,2,1,1,0.6,0.4
Mike Newell,4,1,3,0.6,0.4
Wayne Morgan,2,1,1,0.6,0.4
Ron Hunter,3,1,2,0.6,0.4
Chris Beard,2,1,1,0.6,0.4
Pat Kennedy,13,6,7,5.6,0.4
Eddie Sutton,45,28,17,27.6,0.4
Perry Watson,4,2,2,1.6,0.4
Bill C. Foster,2,1,1,0.6,0.4
Michael White,4,3,1,2.6,0.4
Perry Clark,7,3,4,2.6,0.4
Steve Alford,21,11,10,10.6,0.4
Bruce Parkhill,2,1,1,0.7,0.3
Eran Ganot,2,1,1,0.7,0.3
Ray Harper,4,1,3,0.7,0.3
Rob Jeter,3,1,2,0.7,0.3
Mike Gillespie,3,1,2,0.7,0.3
Joe Callero,2,1,1,0.7,0.3
Lon Kruger,37,20,17,19.7,0.3
Fang Mitchell,5,1,4,0.7,0.3
Andy Russo,4,2,2,1.7,0.3
John Becker,3,1,2,0.7,0.3
Brett Reed,3,1,2,0.7,0.3
Tom Young,2,1,1,0.7,0.3
Dan Hurley,2,1,1,0.7,0.3
Royce Waltman,3,1,2,0.7,0.3
James Jones,2,1,1,0.7,0.3
Gary Waters,5,2,3,1.7,0.3
Matt Kilcullen,2,1,1,0.7,0.3
John Pelphrey,3,1,2,0.8,0.2
Dick Versace,2,1,1,0.8,0.2
Brian Gregory,3,1,2,0.8,0.2
Chris Lowery,6,3,3,2.8,0.2
Jerry Dunn,4,2,2,1.8,0.2
Lefty Driesell,8,4,4,3.8,0.2
Paul Evans,14,7,7,6.8,0.2
Terry Holland,8,4,4,3.8,0.2
Joe Mihalich,3,1,2,0.8,0.2
Tom Brennan,4,1,3,0.8,0.2
Brooks Thompson,2,1,1,0.8,0.2
Jerry Wainwright,4,1,3,0.8,0.2
Andy Kennedy,4,2,2,1.8,0.2
James Dickey,4,2,2,1.8,0.2
Chris Mooney,4,2,2,1.8,0.2
Rob Lanier,2,1,1,0.8,0.2
Cy Alexander,7,1,6,0.8,0.2
Jim Boyle,2,1,1,0.9,0.1
Dave Calloway,4,1,3,0.9,0.1
Steve Newton,4,1,3,0.9,0.1
Joe Dooley,3,1,2,0.9,0.1
Stu Jackson,2,1,1,0.9,0.1
Milan Brown,2,1,1,0.9,0.1
Ben Jobe,5,1,4,0.9,0.1
Jamion Christian,3,1,2,0.9,0.1
Bob Wade,2,1,1,0.9,0.1
Dana Kirk,7,5,2,4.9,0.1
Cuonzo Martin,5,3,2,2.9,0.1
Larry Krystkowiak,8,4,4,3.9,0.1
Dave Leitao,4,2,2,1.9,0.1
Ricardo Patton,3,1,2,0.9,0.1
Tommy Joe Eagles,3,1,2,0.9,0.1
Bobby Cremins,25,15,10,14.9,0.1
Mike Brey,27,13,14,12.9,0.1
Brad Underwood,6,2,4,1.9,0.1
Jeff Jones,13,6,7,5.9,0.1
Marty Fletcher,3,1,2,0.9,0.1
Saul Phillips,3,1,2,0.9,0.1
