year,team,strength,ofs,dfs,sos
1999,DUKE,1.644,1.442,0.877,1.094
1998,DUKE,1.591,1.310,0.824,1.083
2013,FLA,1.577,1.183,0.750,1.087
2001,DUKE,1.573,1.391,0.884,1.098
2013,LOU,1.561,1.252,0.802,1.101
2010,DUKE,1.558,1.251,0.803,1.106
2011,OSU,1.555,1.249,0.803,1.097
2008,KAN,1.554,1.271,0.818,1.088
1998,UNC,1.534,1.282,0.836,1.097
2012,OSU,1.534,1.241,0.809,1.101
2010,KAN,1.533,1.278,0.834,1.095
2012,KEN,1.527,1.262,0.827,1.091
2002,DUKE,1.526,1.342,0.880,1.081
2007,UNC,1.520,1.348,0.887,1.097
2013,IND,1.519,1.300,0.856,1.099
2005,UNC,1.519,1.394,0.917,1.097
2000,MICS,1.517,1.179,0.777,1.086
2001,ARIZ,1.511,1.268,0.839,1.099
2007,FLA,1.511,1.252,0.829,1.082
2000,STAN,1.511,1.185,0.784,1.066
2011,DUKE,1.504,1.295,0.861,1.092
1999,AUB,1.504,1.246,0.828,1.065
2004,DUKE,1.503,1.271,0.846,1.100
1999,MARY,1.501,1.314,0.875,1.080
2011,KAN,1.498,1.278,0.853,1.091
2001,STAN,1.497,1.265,0.845,1.079
1972,UCLA,1.492,1.243,0.833,1.017
2008,MEM,1.491,1.244,0.834,1.075
2007,KAN,1.488,1.228,0.825,1.079
2002,CIN,1.487,1.199,0.806,1.068
2000,CIN,1.486,1.230,0.828,1.082
2008,UCLA,1.484,1.175,0.792,1.086
2013,GONZ,1.483,1.234,0.832,1.071
2009,UNC,1.481,1.406,0.949,1.086
2007,TXAM,1.476,1.174,0.796,1.073
1999,CONN,1.475,1.194,0.810,1.083
1997,KEN,1.474,1.264,0.858,1.051
1999,MICS,1.474,1.164,0.790,1.095
2012,MICS,1.474,1.182,0.802,1.102
2003,KAN,1.474,1.278,0.868,1.088
2005,ILL,1.472,1.226,0.832,1.078
1996,KEN,1.472,1.339,0.910,1.054
2012,KAN,1.471,1.215,0.826,1.103
2013,DUKE,1.469,1.271,0.865,1.105
2006,TEX,1.469,1.192,0.811,1.078
2009,MEM,1.467,1.173,0.800,1.071
2012,WISC,1.467,1.052,0.717,1.095
2013,MICH,1.465,1.253,0.855,1.104
2008,WISC,1.464,1.091,0.745,1.080
1952,KEN,1.463,1.263,0.864,1.008
2001,MICS,1.461,1.183,0.810,1.084
2007,OSU,1.459,1.214,0.832,1.097
2000,DUKE,1.459,1.343,0.920,1.082
2009,CONN,1.459,1.226,0.840,1.087
2008,UNC,1.458,1.383,0.949,1.087
2011,TEX,1.456,1.188,0.816,1.092
2013,SYRA,1.453,1.165,0.801,1.099
2013,OSU,1.452,1.185,0.816,1.104
2005,DUKE,1.451,1.228,0.846,1.095
2000,TEMP,1.451,1.070,0.738,1.073
1991,UNLV,1.451,1.312,0.904,1.025
1999,KEN,1.449,1.170,0.807,1.091
2007,GTWN,1.444,1.122,0.777,1.093
2007,UCLA,1.444,1.142,0.791,1.095
2013,KAN,1.443,1.210,0.839,1.089
1998,KEN,1.443,1.237,0.857,1.088
2003,PIT,1.442,1.152,0.799,1.067
2004,OKST,1.442,1.194,0.828,1.077
2003,KEN,1.442,1.218,0.844,1.089
2012,SYRA,1.442,1.210,0.839,1.091
2006,DUKE,1.441,1.295,0.899,1.093
2005,OKST,1.441,1.248,0.866,1.086
1992,IND,1.440,1.213,0.843,1.063
1973,UCLA,1.440,1.133,0.787,1.038
2012,UNC,1.440,1.302,0.904,1.088
2011,PIT,1.440,1.184,0.823,1.090
1968,UCLA,1.439,1.257,0.874,1.033
2004,SJOE,1.439,1.217,0.846,1.066
2010,SYRA,1.438,1.266,0.881,1.088
2004,CONN,1.438,1.242,0.864,1.081
2001,ILL,1.437,1.205,0.839,1.093
2013,PIT,1.436,1.109,0.772,1.080
2005,LOU,1.435,1.243,0.866,1.068
2011,KEN,1.435,1.217,0.848,1.096
2011,PUR,1.434,1.189,0.829,1.097
2013,MICS,1.432,1.146,0.801,1.108
2010,BYU,1.432,1.279,0.893,1.060
2010,KEN,1.431,1.237,0.864,1.087
1951,KEN,1.431,1.203,0.841,1.012
2003,ARIZ,1.430,1.287,0.900,1.084
2002,KAN,1.428,1.371,0.960,1.077
1998,ARIZ,1.428,1.345,0.942,1.080
2000,FLA,1.428,1.293,0.906,1.083
2011,SDST,1.427,1.139,0.798,1.080
2009,PIT,1.426,1.230,0.863,1.090
2009,GONZ,1.425,1.237,0.868,1.059
2001,MARY,1.425,1.289,0.905,1.092
1975,IND,1.424,1.211,0.850,1.033
2007,WISC,1.424,1.142,0.802,1.084
2009,LOU,1.423,1.171,0.823,1.091
2004,GEOT,1.423,1.208,0.849,1.100
2006,CONN,1.422,1.269,0.893,1.078
2013,WISC,1.422,1.073,0.754,1.106
2010,WVIR,1.421,1.152,0.811,1.103
2007,MEM,1.421,1.222,0.859,1.066
2010,WISC,1.420,1.076,0.757,1.092
1967,UCLA,1.420,1.187,0.836,1.018
2011,BYU,1.420,1.290,0.909,1.081
1998,KAN,1.418,1.258,0.887,1.062
2008,DUKE,1.418,1.295,0.913,1.086
2002,MARY,1.417,1.299,0.916,1.084
1999,STAN,1.417,1.119,0.790,1.081
2010,KSU,1.417,1.254,0.885,1.107
2006,FLA,1.417,1.224,0.864,1.072
2010,OSU,1.416,1.189,0.840,1.085
2011,WISC,1.416,1.099,0.776,1.101
2008,WAST,1.413,1.053,0.745,1.079
2000,TEX,1.413,1.178,0.833,1.087
2009,DUKE,1.412,1.222,0.865,1.090
1954,KEN,1.412,1.241,0.878,1.003
1999,STJO,1.412,1.218,0.862,1.085
