date,home,opp,t_score,o_score,h_str,o_str,pr_home
2016-01-29,BOS,ORL,103.6,94.8,1.07,0.98,0.81
2016-01-29,DAL,BRK,103.0,93.1,1.03,0.93,0.83
2016-01-29,DET,CLE,97.2,97.0,1.05,1.05,0.51
2016-01-29,LAC,LAL,108.0,92.4,1.07,0.92,0.92
2016-01-29,MIL,MIA,95.7,93.9,1.01,0.99,0.57
2016-01-29,NYK,PHO,106.1,99.0,1.01,0.95,0.75
2016-01-29,OKC,HOU,112.6,102.4,1.10,1.00,0.82
2016-01-29,POR,CHO,102.6,99.5,1.03,1.00,0.62
2016-01-29,UTA,MIN,100.3,92.4,1.04,0.96,0.79
2016-01-30,CLE,SAS,93.0,96.9,1.08,1.13,0.34
2016-01-30,HOU,WAS,109.2,103.8,1.03,0.98,0.69
2016-01-30,IND,DEN,105.3,96.0,1.07,0.97,0.81
2016-01-30,MEM,SAC,102.3,99.3,1.02,0.99,0.62
2016-01-30,NOP,BRK,105.4,96.3,1.02,0.93,0.81
2016-01-30,PHI,GSW,98.2,113.9,0.95,1.10,0.09
2016-01-30,TOR,DET,100.9,94.9,1.08,1.01,0.73
2016-01-31,DAL,PHO,106.4,97.3,1.03,0.95,0.81
2016-01-31,LAC,CHI,102.6,96.5,1.07,1.01,0.73
2016-01-31,LAL,CHO,96.8,101.6,0.95,1.00,0.32
2016-01-31,MIA,ATL,95.9,95.1,1.02,1.01,0.54
2016-01-31,NYK,GSW,101.4,110.6,1.01,1.10,0.20
2016-01-31,ORL,BOS,98.0,100.2,1.01,1.03,0.41
2016-01-31,POR,MIN,104.9,98.2,1.03,0.96,0.74
2016-02-01,ATL,DAL,101.6,96.9,1.05,1.00,0.68
2016-02-01,BRK,DET,96.0,100.8,0.97,1.01,0.31
2016-02-01,DEN,TOR,97.2,100.8,1.01,1.04,0.36
2016-02-01,IND,CLE,98.4,96.7,1.07,1.05,0.57
2016-02-01,NOP,MEM,100.3,97.1,1.02,0.99,0.63
2016-02-01,OKC,WAS,112.6,100.6,1.10,0.98,0.86
2016-02-01,SAC,MIL,106.3,100.6,1.03,0.97,0.71
2016-02-01,SAS,ORL,103.9,86.9,1.17,0.98,0.95
2016-02-01,UTA,CHI,96.8,93.7,1.04,1.01,0.63
2016-02-02,HOU,MIA,100.9,96.8,1.03,0.99,0.66
2016-02-02,LAL,MIN,99.0,100.2,0.95,0.96,0.45
2016-02-02,NYK,BOS,100.2,102.1,1.01,1.03,0.43
2016-02-02,PHO,TOR,97.9,104.4,0.98,1.04,0.26
2016-02-02,POR,MIL,103.5,98.1,1.03,0.97,0.70
2016-02-03,BOS,DET,103.5,98.3,1.07,1.01,0.69
2016-02-03,BRK,IND,95.6,102.0,0.97,1.03,0.26
2016-02-03,CHO,CLE,96.6,98.1,1.03,1.05,0.44
2016-02-03,DAL,MIA,96.6,92.3,1.03,0.99,0.67
2016-02-03,LAC,MIN,106.3,95.2,1.07,0.96,0.85
2016-02-03,OKC,ORL,107.3,95.6,1.10,0.98,0.86
2016-02-03,PHI,ATL,96.8,102.8,0.95,1.01,0.27
2016-02-03,SAC,CHI,104.0,102.2,1.03,1.01,0.57
2016-02-03,SAS,NOP,107.6,91.1,1.17,0.99,0.93
2016-02-03,UTA,DEN,100.2,93.4,1.04,0.97,0.76
2016-02-03,WAS,GSW,104.4,113.9,1.01,1.10,0.20
2016-02-04,DET,NYK,102.7,95.9,1.05,0.98,0.75
2016-02-04,NOP,LAL,107.0,96.0,1.02,0.92,0.85
2016-02-04,PHO,HOU,105.5,107.5,0.98,1.00,0.42
2016-02-04,POR,TOR,98.9,100.5,1.03,1.04,0.44
