rk,year,team,str,ofs,dfs,sos
1,1996,Chicago Bulls,1.123,1.062,0.946,0.998
2,1997,Chicago Bulls,1.112,1.069,0.961,1.000
3,2008,Boston Celtics,1.102,1.010,0.916,0.996
4,1992,Chicago Bulls,1.098,1.043,0.950,0.999
5,2015,Golden State Warriors,1.097,1.097,1.000,1.000
6,2013,Oklahoma City Thunder,1.094,1.072,0.981,1.000
7,2009,Cleveland Cavaliers,1.093,1.008,0.922,0.999
8,2007,San Antonio Spurs,1.089,1.001,0.920,1.000
9,2001,San Antonio Spurs,1.087,1.014,0.933,1.001
10,2000,Los Angeles Lakers,1.087,1.032,0.950,0.999
11,2004,San Antonio Spurs,1.086,0.982,0.905,1.001
12,2005,San Antonio Spurs,1.086,0.992,0.914,1.000
13,2012,Chicago Bulls,1.084,1.006,0.928,0.996
14,1994,Seattle SuperSonics,1.083,1.037,0.957,0.998
15,2003,Dallas Mavericks,1.083,1.082,1.000,1.000
16,1986,Boston Celtics,1.082,1.038,0.960,0.999
17,1997,Utah Jazz,1.082,1.057,0.977,0.996
18,1999,San Antonio Spurs,1.082,1.004,0.928,0.996
19,1986,Milwaukee Bucks,1.080,1.044,0.966,0.999
20,1991,Chicago Bulls,1.080,1.037,0.959,0.998
21,2002,Sacramento Kings,1.079,1.092,1.013,1.000
22,2014,San Antonio Spurs,1.079,1.044,0.967,1.001
23,1998,Chicago Bulls,1.079,1.016,0.942,1.001
24,1995,Utah Jazz,1.077,1.047,0.973,0.999
25,2007,Dallas Mavericks,1.077,1.015,0.943,1.000
26,2009,Boston Celtics,1.076,1.008,0.937,1.000
27,1989,Cleveland Cavaliers,1.075,1.005,0.935,1.001
28,2002,Los Angeles Lakers,1.075,1.059,0.985,1.000
29,1995,Seattle SuperSonics,1.074,1.080,1.006,0.999
30,1991,Portland Trail Blazers,1.074,1.070,0.996,0.999
31,1981,Philadelphia 76ers,1.073,1.032,0.962,1.000
32,2013,Miami Heat,1.072,1.045,0.975,0.996
33,2012,San Antonio Spurs,1.072,1.071,0.999,1.001
34,1987,Los Angeles Lakers,1.071,1.060,0.989,0.996
35,2006,San Antonio Spurs,1.071,0.990,0.925,0.999
36,2008,Detroit Pistons,1.071,0.979,0.914,0.997
37,1996,Seattle SuperSonics,1.071,1.041,0.972,0.998
38,2003,Sacramento Kings,1.071,1.069,0.998,1.001
39,2014,Los Angeles Clippers,1.070,1.066,0.996,1.001
40,2010,Orlando Magic,1.070,1.027,0.960,0.999
41,2008,Los Angeles Lakers,1.070,1.084,1.014,1.000
42,1997,Seattle SuperSonics,1.070,1.037,0.968,0.997
43,2011,Chicago Bulls,1.070,0.993,0.928,0.997
44,2007,Phoenix Suns,1.070,1.107,1.035,1.000
