BEGIN
CREATE TABLE
INSERT 0 100
 rk  | year |          team          |  str  |  ofs  |  dfs  |  sos  
-----+------+------------------------+-------+-------+-------+-------
   1 | 1996 | Chicago Bulls          | 1.126 | 1.062 | 0.943 | 1.002
   2 | 1997 | Chicago Bulls          | 1.103 | 1.065 | 0.966 | 1.005
   3 | 2008 | Boston Celtics         | 1.098 | 1.008 | 0.919 | 1.000
   4 | 2013 | Oklahoma City Thunder  | 1.097 | 1.072 | 0.978 | 1.002
   5 | 1992 | Chicago Bulls          | 1.093 | 1.039 | 0.950 | 1.002
   6 | 2015 | Golden State Warriors  | 1.093 | 1.096 | 1.002 | 1.003
   7 | 2004 | San Antonio Spurs      | 1.093 | 0.987 | 0.903 | 1.003
   8 | 2001 | San Antonio Spurs      | 1.092 | 1.015 | 0.929 | 1.003
   9 | 2000 | Los Angeles Lakers     | 1.091 | 1.040 | 0.953 | 1.004
  10 | 2009 | Cleveland Cavaliers    | 1.088 | 1.005 | 0.924 | 1.001
  11 | 1999 | San Antonio Spurs      | 1.088 | 1.009 | 0.927 | 0.999
  12 | 2007 | San Antonio Spurs      | 1.088 | 0.999 | 0.919 | 1.003
  13 | 1997 | Utah Jazz              | 1.085 | 1.060 | 0.976 | 1.001
  14 | 1991 | Chicago Bulls          | 1.084 | 1.037 | 0.957 | 1.000
  15 | 1986 | Boston Celtics         | 1.084 | 1.041 | 0.960 | 1.001
  16 | 1998 | Chicago Bulls          | 1.081 | 1.018 | 0.942 | 1.004
  17 | 2014 | San Antonio Spurs      | 1.081 | 1.046 | 0.967 | 1.005
  18 | 2012 | Chicago Bulls          | 1.080 | 1.001 | 0.928 | 0.998
  19 | 2007 | Dallas Mavericks       | 1.080 | 1.016 | 0.940 | 1.000
  20 | 2002 | Sacramento Kings       | 1.079 | 1.094 | 1.015 | 1.004
  21 | 2012 | San Antonio Spurs      | 1.079 | 1.078 | 0.999 | 1.003
  22 | 1986 | Milwaukee Bucks        | 1.078 | 1.040 | 0.965 | 1.001
  23 | 2010 | Orlando Magic          | 1.078 | 1.029 | 0.955 | 1.000
  24 | 1995 | Seattle SuperSonics    | 1.077 | 1.082 | 1.004 | 0.999
  25 | 1995 | Utah Jazz              | 1.077 | 1.047 | 0.972 | 1.000
  26 | 2003 | Dallas Mavericks       | 1.076 | 1.080 | 1.004 | 1.005
  27 | 2005 | San Antonio Spurs      | 1.075 | 0.990 | 0.921 | 1.004
  28 | 2013 | Miami Heat             | 1.075 | 1.043 | 0.970 | 1.000
  29 | 1994 | Seattle SuperSonics    | 1.075 | 1.029 | 0.957 | 0.999
  30 | 2011 | Chicago Bulls          | 1.075 | 0.994 | 0.924 | 0.997
  31 | 2002 | Los Angeles Lakers     | 1.074 | 1.059 | 0.986 | 1.005
  32 | 1991 | Portland Trail Blazers | 1.073 | 1.069 | 0.997 | 1.002
  33 | 2008 | Utah Jazz              | 1.073 | 1.065 | 0.993 | 1.003
  34 | 2015 | San Antonio Spurs      | 1.072 | 1.031 | 0.962 | 1.003
  35 | 1989 | Phoenix Suns           | 1.072 | 1.084 | 1.012 | 0.998
  36 | 1996 | Seattle SuperSonics    | 1.072 | 1.039 | 0.970 | 1.003
  37 | 2014 | Los Angeles Clippers   | 1.072 | 1.065 | 0.993 | 1.004
  38 | 2003 | Sacramento Kings       | 1.071 | 1.071 | 1.000 | 1.004
  39 | 2008 | Los Angeles Lakers     | 1.071 | 1.085 | 1.013 | 1.006
  40 | 1981 | Philadelphia 76ers     | 1.071 | 1.030 | 0.961 | 1.003
  41 | 2007 | Phoenix Suns           | 1.071 | 1.106 | 1.033 | 1.002
  42 | 1989 | Cleveland Cavaliers    | 1.070 | 1.002 | 0.936 | 1.002
  43 | 2015 | Los Angeles Clippers   | 1.070 | 1.070 | 1.000 | 1.004
  44 | 1992 | Portland Trail Blazers | 1.069 | 1.058 | 0.990 | 1.004
  45 | 2011 | Miami Heat             | 1.069 | 1.028 | 0.962 | 1.001
  46 | 2006 | San Antonio Spurs      | 1.068 | 0.995 | 0.932 | 1.002
  47 | 1997 | Seattle SuperSonics    | 1.068 | 1.033 | 0.967 | 0.999
  48 | 2004 | Minnesota Timberwolves | 1.068 | 1.018 | 0.953 | 1.004
