date,type,site,home,str,score,away,str,score,pwin
2015-03-19,NCAA,neutral,Alabama-Birmingham Blazers,1.03,63.5,Iowa State Cyclones,1.29,79.9,0.09
2015-03-19,NCAA,neutral,Arizona Wildcats,1.40,78.7,Texas Southern Tigers,0.94,53.1,0.98
2015-03-19,NCAA,neutral,Arkansas Razorbacks,1.21,69.4,Wofford Terriers,1.07,61.2,0.78
2015-03-19,NCAA,neutral,Baylor Bears,1.29,65.7,Georgia State Panthers,1.12,56.7,0.82
2015-03-19,NCAA,neutral,Butler Bulldogs,1.25,58.1,Texas Longhorns,1.27,59.2,0.45
2015-03-19,NCAA,neutral,Cincinnati Bearcats,1.16,56.6,Purdue Boilermakers,1.19,58.1,0.43
2015-03-19,NCAA,neutral,Eastern Washington Eagles,1.02,65.6,Georgetown Hoyas,1.23,78.7,0.13
2015-03-19,NCAA,neutral,Hampton Pirates,0.91,48.0,Kentucky Wildcats,1.54,80.9,0.00
2015-03-19,NCAA,neutral,Harvard Crimson,1.08,58.1,North Carolina Tar Heels,1.32,71.0,0.11
2015-03-19,NCAA,neutral,Lafayette Leopards,0.97,60.2,Villanova Wildcats,1.37,84.9,0.03
2015-03-19,NCAA,neutral,Louisiana State Fighting Tigers,1.16,68.2,North Carolina State Wolfpack,1.20,70.6,0.41
2015-03-19,NCAA,neutral,Mississippi Rebels,1.18,69.3,Xavier Musketeers,1.23,72.2,0.40
2015-03-19,NCAA,neutral,Northeastern Huskies,1.04,62.3,Notre Dame Fighting Irish,1.28,76.2,0.11
2015-03-19,CIT,home,Northwestern State Demons,1.02,82.3,Tennessee-Martin Skyhawks,0.98,79.0,0.60
2015-03-19,NCAA,neutral,Ohio State Buckeyes,1.29,71.3,Virginia Commonwealth Rams,1.19,65.4,0.71
2015-03-19,NCAA,neutral,Southern Methodist Mustangs,1.21,67.7,UCLA Bruins,1.14,64.0,0.64
2015-03-19,NCAA,neutral,Stephen F. Austin Lumberjacks,1.15,58.6,Utah Utes,1.35,68.8,0.16
