rk,team,year,str,ofs,dfs,sos
1,Duke Blue Devils,1999,1.553,1.417,0.912,1.070
2,Kentucky Wildcats,2015,1.524,1.170,0.768,1.061
3,UCLA Bruins,1972,1.509,1.252,0.830,1.029
4,Kentucky Wildcats,1996,1.489,1.352,0.908,1.064
5,Duke Blue Devils,2001,1.487,1.363,0.917,1.070
6,Duke Blue Devils,1998,1.486,1.275,0.858,1.062
7,Kentucky Wildcats,1997,1.481,1.273,0.860,1.051
8,Kentucky Wildcats,1952,1.474,1.267,0.860,1.014
9,UCLA Bruins,1973,1.463,1.141,0.779,1.051
10,Nevada-Las Vegas Rebels,1991,1.462,1.321,0.904,1.028
11,Indiana Hoosiers,1992,1.460,1.224,0.838,1.079
12,UCLA Bruins,1968,1.458,1.266,0.868,1.047
13,Kentucky Wildcats,1951,1.450,1.213,0.837,1.012
14,Kansas Jayhawks,2008,1.442,1.227,0.850,1.056
15,Indiana Hoosiers,1975,1.440,1.220,0.847,1.047
16,North Carolina Tar Heels,1998,1.439,1.248,0.867,1.077
17,Duke Blue Devils,2002,1.437,1.308,0.910,1.059
18,UCLA Bruins,1967,1.437,1.194,0.831,1.033
19,Florida Gators,2013,1.435,1.135,0.791,1.045
20,Kansas State Wildcats,1951,1.435,1.231,0.858,1.066
21,Michigan State Spartans,2000,1.433,1.151,0.803,1.059
22,Louisville Cardinals,2013,1.431,1.197,0.836,1.059
23,UCLA Bruins,1969,1.429,1.184,0.828,1.039
24,North Carolina Tar Heels,1993,1.426,1.238,0.868,1.071
25,Ohio State Buckeyes,2011,1.423,1.202,0.844,1.066
26,Kentucky Wildcats,1954,1.422,1.249,0.878,1.017
27,Wisconsin Badgers,2015,1.422,1.165,0.819,1.061
28,North Carolina Tar Heels,2005,1.420,1.357,0.955,1.074
29,Arizona Wildcats,1988,1.420,1.192,0.839,1.046
30,Virginia Cavaliers,2015,1.419,1.032,0.727,1.060
31,Arizona Wildcats,2001,1.418,1.232,0.869,1.075
32,Ohio State Buckeyes,1960,1.418,1.318,0.929,1.041
33,Duke Blue Devils,2010,1.416,1.202,0.849,1.066
34,Stanford Cardinal,2000,1.416,1.161,0.820,1.049
35,Arizona Wildcats,1989,1.415,1.193,0.843,1.065
36,San Francisco Dons,1955,1.412,1.031,0.731,1.049
37,Auburn Tigers,1999,1.411,1.214,0.861,1.038
38,Kentucky Wildcats,1995,1.411,1.260,0.892,1.061
39,Ohio State Buckeyes,2012,1.409,1.199,0.851,1.066
40,Cincinnati Bearcats,1960,1.409,1.264,0.897,1.041
41,Duke Blue Devils,2004,1.408,1.241,0.882,1.078
42,Maryland Terrapins,1999,1.408,1.298,0.922,1.066
43,Kansas Jayhawks,1997,1.408,1.290,0.916,1.056
