BEGIN
CREATE TABLE
INSERT 0 4866
INSERT 0 4866
INSERT 0 1328
                 school                 | g  | w  | l  |  ew  | diff 
----------------------------------------+----+----+----+------+------
 Florida International Panthers         | 29 |  5 | 24 | 11.2 | -6.2
 North Carolina A&T Aggies              | 30 |  1 | 29 |  5.9 | -4.9
 Missouri Tigers                        | 32 |  8 | 24 | 12.4 | -4.4
 Louisiana-Monroe Warhawks              | 31 |  7 | 24 | 10.8 | -3.8
 Drexel Dragons                         | 31 |  8 | 23 | 11.7 | -3.7
 Southern Utah Thunderbirds             | 31 |  4 | 27 |  7.7 | -3.7
 Tulane Green Wave                      | 31 |  6 | 25 |  9.5 | -3.5
 Washington Huskies                     | 31 |  9 | 22 | 12.4 | -3.4
 Drake Bulldogs                         | 29 |  6 | 23 |  9.4 | -3.4
 James Madison Dukes                    | 32 |  9 | 23 | 12.4 | -3.4
 Oregon State Beavers                   | 31 |  4 | 27 |  7.3 | -3.3
 Oral Roberts Golden Eagles             | 28 |  6 | 22 |  9.3 | -3.3
 Florida A&M Rattlers                   | 28 |  5 | 23 |  8.3 | -3.3
 Duquesne Dukes                         | 32 | 10 | 22 | 13.2 | -3.2
 Cleveland State Vikings                | 30 |  8 | 22 | 11.2 | -3.2
 Loyola (IL) Ramblers                   | 30 | 16 | 14 | 19.1 | -3.1
 Niagara Purple Eagles                  | 33 | 10 | 23 | 13.1 | -3.1
 Texas Longhorns                        | 33 | 11 | 22 | 14.1 | -3.1
 San Diego State Aztecs                 | 32 | 18 | 14 | 21.0 | -3.0
 Virginia Cavaliers                     | 34 | 23 | 11 | 25.9 | -2.9
 Georgetown Hoyas                       | 32 | 14 | 18 | 16.8 | -2.8
 Army Black Knights                     | 31 | 12 | 19 | 14.8 | -2.8
 Utah Valley Wolverines                 | 31 | 14 | 17 | 16.7 | -2.7
 Idaho State Bengals                    | 30 |  4 | 26 |  6.7 | -2.7
 Massachusetts-Lowell River Hawks       | 30 | 10 | 20 | 12.7 | -2.7
 Toledo Rockets                         | 33 | 16 | 17 | 18.7 | -2.7
 North Texas Mean Green                 | 28 |  6 | 22 |  8.7 | -2.7
 Southern Illinois-Edwardsville Cougars | 28 |  5 | 23 |  7.6 | -2.6
 Colgate Raiders                        | 31 |  9 | 22 | 11.6 | -2.6
 Utah Utes                              | 30 | 18 | 12 | 20.6 | -2.6
 Indiana Hoosiers                       | 34 | 18 | 16 | 20.5 | -2.5
 Eastern Michigan Eagles                | 29 | 12 | 17 | 14.5 | -2.5
 Virginia Military Institute Keydets    | 28 |  4 | 24 |  6.4 | -2.4
 Fairleigh Dickinson Knights            | 29 | 10 | 19 | 12.4 | -2.4
 Oklahoma Sooners                       | 31 | 11 | 20 | 13.4 | -2.4
 DePaul Blue Demons                     | 32 |  9 | 23 | 11.3 | -2.3
 Appalachian State Mountaineers         | 28 |  7 | 21 |  9.3 | -2.3
 Cornell Big Red                        | 28 |  7 | 21 |  9.2 | -2.2
 Murray State Racers                    | 31 | 14 | 17 | 16.2 | -2.2
 UC-Riverside Highlanders               | 27 |  6 | 21 |  8.2 | -2.2
 Alabama A&M Bulldogs                   | 29 |  2 | 27 |  4.2 | -2.2
 Boston College Eagles                  | 32 |  9 | 23 | 11.2 | -2.2
 Texas-Rio Grande Valley Vaqueros       | 29 |  7 | 22 |  9.2 | -2.2
 Bryant Bulldogs                        | 31 | 11 | 20 | 13.1 | -2.1
 St. Francis (NY) Terriers              | 30 |  3 | 27 |  5.1 | -2.1
 Mercer Bears                           | 30 | 13 | 17 | 15.1 | -2.1
 Syracuse Orange                        | 34 | 19 | 15 | 21.0 | -2.0
 Cal State Northridge Matadors          | 28 | 10 | 18 | 12.0 | -2.0
 Utah State Aggies                      | 30 | 13 | 17 | 15.0 | -2.0
 Montana Grizzlies                      | 32 | 16 | 16 | 18.0 | -2.0
 McNeese State Cowboys                  | 26 |  5 | 21 |  7.0 | -2.0
 Houston Cougars                        | 32 | 21 | 11 | 22.9 | -1.9
 American Eagles                        | 30 |  8 | 22 |  9.9 | -1.9
 Tennessee Tech Golden Eagles           | 30 | 10 | 20 | 11.9 | -1.9
 Indiana State Sycamores                | 30 | 10 | 20 | 11.8 | -1.8
 Southeastern Louisiana Lions           | 30 | 14 | 16 | 15.8 | -1.8
 Florida Atlantic Owls                  | 28 |  8 | 20 |  9.8 | -1.8
 Louisiana Tech Bulldogs                | 31 | 21 | 10 | 22.8 | -1.8
 Milwaukee Panthers                     | 34 | 10 | 24 | 11.8 | -1.8
 Saint Joseph's Hawks                   | 31 | 11 | 20 | 12.7 | -1.7
 Bethune-Cookman Wildcats               | 30 |  8 | 22 |  9.7 | -1.7
 Missouri State Bears                   | 32 | 16 | 16 | 17.7 | -1.7
 Clemson Tigers                         | 33 | 17 | 16 | 18.7 | -1.7
 Portland State Vikings                 | 28 | 12 | 16 | 13.7 | -1.7
 NJIT Highlanders                       | 29 |  9 | 20 | 10.6 | -1.6
 Air Force Falcons                      | 31 | 10 | 21 | 11.6 | -1.6
 Detroit Mercy Titans                   | 30 |  7 | 23 |  8.6 | -1.6
 Eastern Illinois Panthers              | 27 | 12 | 15 | 13.6 | -1.6
 Buffalo Bulls                          | 30 | 15 | 15 | 16.6 | -1.6
 Charleston Southern Buccaneers         | 28 |  9 | 19 | 10.6 | -1.6
 Texas Tech Red Raiders                 | 32 | 18 | 14 | 19.6 | -1.6
 Massachusetts Minutemen                | 33 | 15 | 18 | 16.6 | -1.6
 Prairie View Panthers                  | 31 | 11 | 20 | 12.6 | -1.6
 Wofford Terriers                       | 30 | 13 | 17 | 14.6 | -1.6
 Alabama State Hornets                  | 30 |  7 | 23 |  8.6 | -1.6
 Pennsylvania Quakers                   | 28 | 13 | 15 | 14.6 | -1.6
 Howard Bison                           | 32 |  8 | 24 |  9.6 | -1.6
 IUPUI Jaguars                          | 30 | 12 | 18 | 13.5 | -1.5
 Mississippi Valley State Delta Devils  | 32 |  7 | 25 |  8.5 | -1.5
 Colorado Buffaloes                     | 33 | 18 | 15 | 19.5 | -1.5
 Northern Illinois Huskies              | 29 | 12 | 17 | 13.5 | -1.5
 Pacific Tigers                         | 32 | 10 | 22 | 11.5 | -1.5
 Ohio State Buckeyes                    | 32 | 17 | 15 | 18.4 | -1.4
 Columbia Lions                         | 26 | 10 | 16 | 11.4 | -1.4
 Ohio Bobcats                           | 30 | 19 | 11 | 20.4 | -1.4
 Hofstra Pride                          | 31 | 14 | 17 | 15.3 | -1.3
 Vanderbilt Commodores                  | 35 | 19 | 16 | 20.3 | -1.3
 Southeast Missouri State Redhawks      | 31 | 13 | 18 | 14.3 | -1.3
 Central Arkansas Bears                 | 32 |  8 | 24 |  9.3 | -1.3
 Alabama Crimson Tide                   | 34 | 19 | 15 | 20.3 | -1.3
 Northern Colorado Bears                | 27 |  9 | 18 | 10.3 | -1.3
 Montana State Bobcats                  | 30 | 14 | 16 | 15.2 | -1.2
 Western Illinois Leathernecks          | 26 |  6 | 20 |  7.2 | -1.2
 West Virginia Mountaineers             | 37 | 28 |  9 | 29.2 | -1.2
